Core Config, Excited Config, Term, J, Energy
1s1, 5p1, 3.0P[2.0, 1.0, 0.0], 1.0, 193923.68467520294
1s1, 5p1, 3.0P[2.0, 1.0, 0.0], 0.0, 193923.68467520294
1s1, 5p1, 1.0P[1.0], 1.0, 193923.68467520294
1s1, 5d1, 3.0D[3.0, 2.0, 1.0], 3.0, 193923.68467520294
1s1, 5d1, 3.0D[3.0, 2.0, 1.0], 2.0, 193923.68467520294
1s1, 5d1, 3.0D[3.0, 2.0, 1.0], 1.0, 193923.68467520294
1s1, 5d1, 1.0D[2.0], 2.0, 193923.68467520294
1s1, 5f1, 3.0F[4.0, 3.0, 2.0], 4.0, 193923.68467520294
1s1, 5f1, 3.0F[4.0, 3.0, 2.0], 3.0, 193923.68467520294
1s1, 5f1, 3.0F[4.0, 3.0, 2.0], 2.0, 193923.68467520294
1s1, 5f1, 1.0F[3.0], 3.0, 193923.68467520294
1s1, 5g1, 3.0G[5.0, 4.0, 3.0], 5.0, 193923.68467520294
1s1, 5g1, 3.0G[5.0, 4.0, 3.0], 4.0, 193923.68467520294
1s1, 5g1, 3.0G[5.0, 4.0, 3.0], 3.0, 193923.68467520294
1s1, 5g1, 1.0G[4.0], 4.0, 193923.68467520294
1s1, 5h1, 3.0H[6.0, 5.0, 4.0], 6.0, 193923.68467520294
1s1, 5h1, 3.0H[6.0, 5.0, 4.0], 5.0, 193923.68467520294
1s1, 5h1, 3.0H[6.0, 5.0, 4.0], 4.0, 193923.68467520294
1s1, 5h1, 1.0H[5.0], 5.0, 193923.68467520294
1s1, 5i1, 3.0I[7.0, 6.0, 5.0], 7.0, 193923.68467520294
1s1, 5i1, 3.0I[7.0, 6.0, 5.0], 6.0, 193923.68467520294
1s1, 5i1, 3.0I[7.0, 6.0, 5.0], 5.0, 193923.68467520294
1s1, 5i1, 1.0I[6.0], 6.0, 193923.68467520294
1s1, 5j1, 3.0J[8.0, 7.0, 6.0], 8.0, 193923.68467520294
1s1, 5j1, 3.0J[8.0, 7.0, 6.0], 7.0, 193923.68467520294
