
1s2.2s2.2p1(2.0P).7d1--3.0D[3.0, 2.0, 1.0], 3.0, 223258.707835 ritzRydberg
1s2.2s2.2p1(2.0P).7d1--3.0D[3.0, 2.0, 1.0], 2.0, 223258.707835 ritzRydberg
1s2.2s2.2p1(2.0P).7d1--3.0D[3.0, 2.0, 1.0], 1.0, 223258.707835 ritzRydberg

1s2.2s2.2p1(2.0P).7f1--3.0D[3.0, 2.0, 1.0], 3.0, 223258.707835 ritzRydberg
1s2.2s2.2p1(2.0P).7f1--3.0D[3.0, 2.0, 1.0], 2.0, 223258.707835 ritzRydberg
1s2.2s2.2p1(2.0P).7f1--3.0D[3.0, 2.0, 1.0], 1.0, 223258.707835 ritzRydberg

1s2.2s2.2p1(2.0P).7p1--1.0D[2.0], 2.0, 223439.399715 ritzRydberg

1s2.2s2.2p1(2.0P).7d1--1.0D[2.0], 2.0, 223439.399715 ritzRydberg

1s2.2s2.2p1(2.0P).7f1--1.0D[2.0], 2.0, 223439.399715 ritzRydberg

1s2.2s2.2p1(2.0P).8s1--3.0P[2.0, 1.0, 0.0], 2.0, 223633.974635 ritzRydberg
1s2.2s2.2p1(2.0P).8s1--3.0P[2.0, 1.0, 0.0], 1.0, 223633.974635 ritzRydberg
1s2.2s2.2p1(2.0P).8s1--3.0P[2.0, 1.0, 0.0], 0.0, 223633.974635 ritzRydberg

1s2.2s2.2p1(2.0P).8p1--3.0P[2.0, 1.0, 0.0], 2.0, 223633.974635 ritzRydberg
1s2.2s2.2p1(2.0P).8p1--3.0P[2.0, 1.0, 0.0], 1.0, 223633.974635 ritzRydberg
1s2.2s2.2p1(2.0P).8p1--3.0P[2.0, 1.0, 0.0], 0.0, 223633.974635 ritzRydberg

1s2.2s2.2p1(2.0P).8d1--3.0P[2.0, 1.0, 0.0], 2.0, 223633.974635 ritzRydberg
1s2.2s2.2p1(2.0P).8d1--3.0P[2.0, 1.0, 0.0], 1.0, 223633.974635 ritzRydberg
1s2.2s2.2p1(2.0P).8d1--3.0P[2.0, 1.0, 0.0], 0.0, 223633.974635 ritzRydberg

1s2.2s2.2p1(2.0P).8p1--1.0S[0.0], 0.0, 224040.11398 ritzRydberg

1s2.2s2.2p1(2.0P).5f1--3.0G[5.0, 4.0, 3.0], 5.0, 224063.359167 azimuthalQuantExtrap
1s2.2s2.2p1(2.0P).5f1--3.0G[5.0, 4.0, 3.0], 4.0, 224063.359167 azimuthalQuantExtrap
1s2.2s2.2p1(2.0P).5f1--3.0G[5.0, 4.0, 3.0], 3.0, 224063.359167 azimuthalQuantExtrap

1s2.2s2.2p1(2.0P).5f1--1.0G[4.0], 4.0, 224063.359167 azimuthalQuantExtrap

1s2.2s2.2p1(2.0P).8s1--1.0P[1.0], 1.0, 224595.214808 ritzRydberg

1s2.2s2.2p1(2.0P).8p1--1.0P[1.0], 1.0, 224595.214808 ritzRydberg

1s2.2s2.2p1(2.0P).8d1--1.0P[1.0], 1.0, 224595.214808 ritzRydberg

1s2.2s2.2p1(2.0P).9p1--3.0S[1.0], 1.0, 224700.594706 ritzRydberg

1s2.2s2.2p1(2.0P).8d1--3.0F[4.0, 3.0, 2.0], 4.0, 224812.400022 ritzRydberg
1s2.2s2.2p1(2.0P).8d1--3.0F[4.0, 3.0, 2.0], 3.0, 224812.400022 ritzRydberg
1s2.2s2.2p1(2.0P).8d1--3.0F[4.0, 3.0, 2.0], 2.0, 224812.400022 ritzRydberg

1s2.2s2.2p1(2.0P).8f1--3.0F[4.0, 3.0, 2.0], 4.0, 224812.400022 ritzRydberg
1s2.2s2.2p1(2.0P).8f1--3.0F[4.0, 3.0, 2.0], 3.0, 224812.400022 ritzRydberg
1s2.2s2.2p1(2.0P).8f1--3.0F[4.0, 3.0, 2.0], 2.0, 224812.400022 ritzRydberg

1s2.2s2.2p1(2.0P).8g1--3.0F[4.0, 3.0, 2.0], 4.0, 224812.400022 ritzRydberg
1s2.2s2.2p1(2.0P).8g1--3.0F[4.0, 3.0, 2.0], 3.0, 224812.400022 ritzRydberg
1s2.2s2.2p1(2.0P).8g1--3.0F[4.0, 3.0, 2.0], 2.0, 224812.400022 ritzRydberg

1s2.2s2.2p1(2.0P).7d1--1.0F[3.0], 3.0, 224883.560578 ritzRydberg

1s2.2s2.2p1(2.0P).7f1--1.0F[3.0], 3.0, 224883.560578 ritzRydberg

1s2.2s2.2p1(2.0P).7g1--1.0F[3.0], 3.0, 224883.560578 ritzRydberg

1s2.2s2.2p1(2.0P).8p1--3.0D[3.0, 2.0, 1.0], 3.0, 225062.865564 ritzRydberg
1s2.2s2.2p1(2.0P).8p1--3.0D[3.0, 2.0, 1.0], 2.0, 225062.865564 ritzRydberg
1s2.2s2.2p1(2.0P).8p1--3.0D[3.0, 2.0, 1.0], 1.0, 225062.865564 ritzRydberg

1s2.2s2.2p1(2.0P).8d1--3.0D[3.0, 2.0, 1.0], 3.0, 225062.865564 ritzRydberg
1s2.2s2.2p1(2.0P).8d1--3.0D[3.0, 2.0, 1.0], 2.0, 225062.865564 ritzRydberg
1s2.2s2.2p1(2.0P).8d1--3.0D[3.0, 2.0, 1.0], 1.0, 225062.865564 ritzRydberg

1s2.2s2.2p1(2.0P).8f1--3.0D[3.0, 2.0, 1.0], 3.0, 225062.865564 ritzRydberg
1s2.2s2.2p1(2.0P).8f1--3.0D[3.0, 2.0, 1.0], 2.0, 225062.865564 ritzRydberg
1s2.2s2.2p1(2.0P).8f1--3.0D[3.0, 2.0, 1.0], 1.0, 225062.865564 ritzRydberg

1s2.2s2.2p1(2.0P).8p1--1.0D[2.0], 2.0, 225200.328244 ritzRydberg

1s2.2s2.2p1(2.0P).8d1--1.0D[2.0], 2.0, 225200.328244 ritzRydberg

1s2.2s2.2p1(2.0P).8f1--1.0D[2.0], 2.0, 225200.328244 ritzRydberg

1s2.2s2.2p1(2.0P).9s1--3.0P[2.0, 1.0, 0.0], 2.0, 225225.061224 ritzRydberg
1s2.2s2.2p1(2.0P).9s1--3.0P[2.0, 1.0, 0.0], 1.0, 225225.061224 ritzRydberg
1s2.2s2.2p1(2.0P).9s1--3.0P[2.0, 1.0, 0.0], 0.0, 225225.061224 ritzRydberg

1s2.2s2.2p1(2.0P).9p1--3.0P[2.0, 1.0, 0.0], 2.0, 225225.061224 ritzRydberg
1s2.2s2.2p1(2.0P).9p1--3.0P[2.0, 1.0, 0.0], 1.0, 225225.061224 ritzRydberg
1s2.2s2.2p1(2.0P).9p1--3.0P[2.0, 1.0, 0.0], 0.0, 225225.061224 ritzRydberg

1s2.2s2.2p1(2.0P).9d1--3.0P[2.0, 1.0, 0.0], 2.0, 225225.061224 ritzRydberg
1s2.2s2.2p1(2.0P).9d1--3.0P[2.0, 1.0, 0.0], 1.0, 225225.061224 ritzRydberg
1s2.2s2.2p1(2.0P).9d1--3.0P[2.0, 1.0, 0.0], 0.0, 225225.061224 ritzRydberg

1s2.2s2.2p1(2.0P).9p1--1.0S[0.0], 0.0, 225552.741847 ritzRydberg

