config, term, J, epsion
2s.2p3.(5S).4p, 6P, 1.5, 738874.8
2s.2p3.(5S).4p, 6P, 2.5, 738892.5
2s.2p3.(5S).4p, 6P, 3.5, 738923.4







2s.2p3.(3D).3d, 4P, 2.5, 757512




