-------------------------------------------------------------------------------------
Configuration      | Term   |    J |   Level (cm-1) | Uncertainty (cm-1) | Reference
2s2.2p2.(3P).4d    | 2D     |  3/2 |    444957.11   |                    |          
                   |        |  5/2 |    445006.13   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P).5s    | 4P     |  1/2 |    452577.90   |                    |          
                   |        |  3/2 |    452816.60   |                    |          
                   |        |  5/2 |    453152.39   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D).4p    | 2F*    |  5/2 |    452748.54   |                    |          
                   |        |  7/2 |    452770.85   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D).4p    | 2D*    |  5/2 |    453343.62   |                    |          
                   |        |  3/2 |    453369.77   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P).5s    | 2P     |  1/2 |    453696.10   |                    |          
                   |        |  3/2 |    454097.66   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D).4p    | 2P*    |  3/2 |    455648.67   |                    |          
                   |        |  1/2 |    455768.72   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P).5p    | 2S*    |  1/2 |    457376.18   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P).5p    | 4D*    |  1/2 |    457446.39   |                    |          
                   |        |  3/2 |    457555.17   |                    |          
                   |        |  5/2 |    457715.10   |                    |          
                   |        |  7/2 |    457959.07   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P).5p    | 4P*    |  1/2 |    458336.27   |                    |          
                   |        |  3/2 |    458392.61   |                    |          
                   |        |  5/2 |    458594.86   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P).5p    | 2D*    |  3/2 |    459804.55   |                    |          
                   |        |  5/2 |    460141.63   |                    |          
                   |        |      |                |                    |           
2s.2p3.(5S*).3d    | 6D*    |  9/2 |    462951.93   |                    |          
                   |        |  7/2 |    462954.27   |                    |          
                   |        |  5/2 |    462958.24   |                    |          
                   |        |  3/2 |    462961.82   |                    |          
                   |        |  1/2 |    462964.67   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P).5d    | 4F     |  3/2 |    464223.93   |                    |          
                   |        |  5/2 |    464321.84   |                    |          
                   |        |  7/2 |    464491.89   |                    |          
                   |        |  9/2 |    464728.42   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D).4d    | 2F     |  7/2 |    464921.74   |                    |          
                   |        |  5/2 |    464939.50   |                    |          
