---------------------------------------------------------------------------------------------------------------------------
Configuration        | Term   |   J |   Level (cm-1) | Uncertainty (cm-1) | Leading percentages                | Reference
                     |        |   3 |    471181.0    |             0.4    |  99                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4p     | 3D     |   1 |    471233.53   |             0.06   |  86         :    13  (2D*).4p 1P   |          
                     |        |   2 |    471273.90   |             0.06   |  99                                |          
                     |        |   3 |    471283.81   |             0.05   |  99                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4p     | 1P     |   1 |    471385.12   |             0.11   |  86         :    13  (2D*).4p 3D   |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).5f     | 5F     |   4 |    471871.5+x  |             0.4    | 100                                |          
                     |        |   1 |    471871.5+x  |             0.4    | 100                                |          
                     |        |   3 |    471871.5+x  |             0.4    | 100                                |          
                     |        |   5 |    471871.5+x  |             0.4    | 100                                |          
                     |        |   2 |    471871.5+x  |             0.4    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).5f     | 3F     |   4 |    471889.71   |             0.09   |  98                                |          
                     |        |   3 |    471890.19   |             0.11   |  98                                |          
                     |        |   2 |    471890.24   |             0.14   |  99                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).5g     | 5G*    |   5 |    472004.1+x  |             0.4    | 100                                |          
                     |        |   2 |    472004.1+x  |             0.4    | 100                                |          
                     |        |   4 |    472004.1+x  |             0.4    | 100                                |          
                     |        |   6 |    472004.1+x  |             0.4    | 100                                |          
                     |        |   3 |    472004.1+x  |             0.4    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).5g     | 3G*    |   5 |    472004.38   |             0.05   | 100                                |          
                     |        |   4 |    472004.44   |             0.12   | 100                                |          
                     |        |   3 |    472004.52   |             0.11   | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4p     | 3F     |   4 |    472013.12   |             0.06   |  98                                |          
                     |        |   3 |    472020.08   |             0.06   |  98                                |          
                     |        |   2 |    472027.94   |             0.05   |  98                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4p     | 1F     |   3 |    472473.64   |             0.06   | 100                                |          
