1s2.2s2.2p3(2.0D).6h1--1.0F[3.0], 3.0, 133767.058816

1s2.2s2.2p3(2.0D).6p1--1.0P[1.0], 1.0, 133894.418173

1s2.2s2.2p3(2.0D).6f1--1.0P[1.0], 1.0, 133894.418173

1s2.2s2.2p3(2.0P).5p1--1.0S[0.0], 0.0, 134108.84018557926

1s2.2s2.2p3(2.0D).6p1--3.0P[2.0, 1.0, 0.0], 2.0, 134119.500176
1s2.2s2.2p3(2.0D).6p1--3.0P[2.0, 1.0, 0.0], 1.0, 134119.500176
1s2.2s2.2p3(2.0D).6p1--3.0P[2.0, 1.0, 0.0], 0.0, 134119.500176

1s2.2s2.2p3(2.0D).6f1--3.0P[2.0, 1.0, 0.0], 2.0, 134119.500176
1s2.2s2.2p3(2.0D).6f1--3.0P[2.0, 1.0, 0.0], 1.0, 134119.500176
1s2.2s2.2p3(2.0D).6f1--3.0P[2.0, 1.0, 0.0], 0.0, 134119.500176

1s2.2s2.2p3(2.0P).6p1--1.0S[0.0], 0.0, 135408.23805187043

1s2.2s2.2p3(2.0D).5g1--3.0I[7.0, 6.0, 5.0], 7.0, 136565.661421
1s2.2s2.2p3(2.0D).5g1--3.0I[7.0, 6.0, 5.0], 6.0, 136565.661421
1s2.2s2.2p3(2.0D).5g1--3.0I[7.0, 6.0, 5.0], 5.0, 136565.661421

1s2.2s2.2p3(2.0D).5g1--1.0I[6.0], 6.0, 136565.661421

1s2.2s2.2p3(2.0P).3d1--3.0F[4.0, 3.0, 2.0], 4.0, 137954.5
1s2.2s2.2p3(2.0P).3d1--3.0F[4.0, 3.0, 2.0], 3.0, 137954.5
1s2.2s2.2p3(2.0P).3d1--3.0F[4.0, 3.0, 2.0], 2.0, 137954.5

1s2.2s2.2p3(2.0P).3d1--1.0F[3.0], 3.0, 137954.5

1s2.2s2.2p3(2.0P).4p1--3.0S[1.0], 1.0, 142264.021415

1s2.2s2.2p3(2.0P).4p1--1.0P[1.0], 1.0, 142617.839699

1s2.2s2.2p3(2.0P).4d1--3.0F[4.0, 3.0, 2.0], 4.0, 143367.449984
1s2.2s2.2p3(2.0P).4d1--3.0F[4.0, 3.0, 2.0], 3.0, 143367.449984
