-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term      |   J |       Level (cm-1) | Uncertainty (cm-1) |           Landé | Leading percentages                                | Reference
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.5p              | 1D        |   2 |     85399.833      |           0.011    |                 |  90         :     5  2s2.2p.6p             1D      |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.5p              | 1S        |   0 |     85625.190      |           0.004    |                 |  72         :    17  2s2.2p.6p             1S      |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.5d              | 1D*       |   2 |     86185.2332     |           0.0007   |                 |  94         :     4  2s2.2p.5d             3F*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.5d              | 3F*       |   2 |     86317.69       |           0.05     |                 |  78         :    19  2s2.2p.5d             3D*     |       L20057
                       |           |   3 |     86327.1863     |           0.0014   |                 |  71         :    22  2s2.2p.5d             3D*     |       L20057
                       |           |   4 |     86369.385      |           0.005    |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.6s              | 3P*       |   0 |     86321.97       |           0.03     |                 |  95         :     5  2s2.2p.5d             3P*     |       L20057
                       |           |   1 |     86331.651      |           0.017    |                 |  79         :     7  2s2.2p.6s             1P*     |       L20057
                       |           |   2 |     86369.622      |           0.021    |                 |  73         :    17  2s2.2p.5d             3D*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.5d              | 3D*       |   1 |     86362.54       |           0.03     |                 |  81         :     9  2s2.2p.5d             1P*     |       L20057
                       |           |   2 |     86389.425      |           0.022    |                 |  61         :    17  2s2.2p.5d             3F*     |       L20057
                       |           |   3 |     86397.83       |           0.04     |                 |  75         :    25  2s2.2p.5d             3F*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).5f   | 2[5/2]    |   3 |     86412.0301     |           0.0018   |                 |  93         :     7  2s2.2p.(2P*<3/2>).5f  2[5/2]  |       L20057
                       |           |   2 |     86412.1310     |           0.0016   |                 |  93         :     7  2s2.2p.(2P*<3/2>).5f  2[5/2]  |       L20057
                       |           |     |                    |                    |                 |                                                    |              
