---------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term   |    J |   Level (cm-1) | Uncertainty (cm-1) | Leading percentages                           | Reference
                     |        |  5/2 |    669036.3    |              1.5   |  87         :     6                     4F    |    L17865
                     |        |  7/2 |    669279.9    |              1.5   |  90         :     8                     4F    |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).4d      | 2P     |  3/2 |    669252      |             10     |  90         :     7                     4D    |    L17865
                     |        |  1/2 |    669653      |             19     |  93         :     5                     4D    |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).4d      | 4P     |  5/2 |    670476.8    |              1.7   |  93         :     5                     4D    |    L17865
                     |        |  3/2 |    670871.5    |              1.1   |  95                                           |    L17865
                     |        |  1/2 |    671410      |             11     |  97                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).4d      | 2F     |  5/2 |    670898.9    |              1.1   |  95                                           |    L17865
                     |        |  7/2 |    671543.1    |              1.1   |  96                                           |    L17865
                     |        |      |                |                    |                                               |           
2s.2p3.(5S*).3d      | 4D*    |  7/2 |    672762.6    |              1.0   |  75         :    22  2s2.2p2.(3P).4f    4D*   |    L17865
                     |        |  5/2 |    672794      |              9     |  86         :    12  2s2.2p2.(3P).4f    4D*   |    L17865
                     |        |  3/2 |    672794      |              8     |  92         :     7  2s2.2p2.(3P).4f    4D*   |    L17865
                     |        |  1/2 |    672795      |             11     |  94         :     5  2s2.2p2.(3P).4f    4D*   |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<0>).4f   | 2[3]*  |  5/2 |    673387.2    |              0.7   |  81         :     9  2s2.2p2.(3P<2>).4f 2[3]* |    L17865
                     |        |  7/2 |    673458.4    |              0.6   |  75         :    14  2s.2p3.(5S*<2>).3d 2[4]* |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<1>).4f   | 2[3]*  |  5/2 |    673603.0    |              0.7   |  89         :     7  2s2.2p2.(3P<0>).4f 2[3]* |    L17865
                     |        |  7/2 |    673671.9    |              0.6   |  80         :     7  2s.2p3.(5S*<2>).3d 2[4]* |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).4d      | 2D     |  3/2 |    673690      |             11     |  95                                           |    L17865
                     |        |  5/2 |    673877.3    |              1.5   |  95                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<1>).4f   | 2[2]*  |  3/2 |    673845.5    |              0.7   |  66         :    27  2s2.2p2.(3P<2>).4f 2[2]* |    L17865
                     |        |  5/2 |    673878.7    |              0.6   |  62         :    28  2s2.2p2.(3P<2>).4f 2[2]* |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<1>).4f   | 2[4]*  |  9/2 |    673884.2    |              0.6   |  88         :     9  2s2.2p2.(3P<2>).4f 2[4]* |    L17865
                     |        |  7/2 |    673939.6    |              0.6   |  80         :    10  2s2.2p2.(3P<2>).4f 2[4]* |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<2>).4f   | 2[1]*  |  3/2 |    674203.0    |              0.6   |  94                                           |    L17865
                     |        |  1/2 |    674217.1    |              0.8   |  93                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<2>).4f   | 2[5]*  | 11/2 |    674392.9    |              1.1   |  98                                           |    L17865
                     |        |  9/2 |    674512.9    |              0.7   |  97                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<2>).4f   | 2[2]*  |  3/2 |    674864.5    |              0.7   |  69         :    29  2s2.2p2.(3P<1>).4f 2[2]* |    L17865
                     |        |  5/2 |    674913.8    |              0.6   |  53         :    24  2s2.2p2.(3P<1>).4f 2[2]* |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<2>).4f   | 2[3]*  |  7/2 |    675012.0    |              0.6   |  73         :    16  2s2.2p2.(3P<2>).4f 2[4]* |    L17865
                     |        |  5/2 |    675098.8    |              0.7   |  68         :    13  2s2.2p2.(3P<2>).4f 2[2]* |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<2>).4f   | 2[4]*  |  9/2 |    675056.7    |              0.7   |  89         :     9  2s2.2p2.(3P<1>).4f 2[4]* |    L17865
                     |        |  7/2 |    675200.4    |              0.6   |  71         :    16  2s2.2p2.(3P<2>).4f 2[3]* |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D).4p      | 2F*    |  5/2 |    680502.8    |              0.7   |  99                                           |    L17865
                     |        |  7/2 |    680554.5    |              0.7   |  99                                           |    L17865
                     |        |      |                |                    |                                               |           
2s.2p3.(3P*).3s      | 4P*    |  5/2 |    690084?     |             15     |  91         :     5  2s2.2p2.(3P).5p    4P*   |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).5s      | 4P     |  1/2 |    693106      |             40     |  94                                           |    L17865
                     |        |  3/2 |    693715      |             17     |  94                                           |    L17865
                     |        |  5/2 |    694328      |             16     |  95                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).5s      | 2P     |  3/2 |    696296      |              3     |  93                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1S).4s      | 2S     |  1/2 |    696991.1    |              1.3   |  76         :    20  2s2.2p2.(1D).4d    2S    |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D).4d      | 2F     |  7/2 |    698096      |              3     |  92                                           |    L17865
                     |        |  5/2 |    698142.9    |              1.4   |  94                                           |    L17865
                     |        |      |                |                    |                                               |           
2s.2p3.(3D*).3p      | 4D     |  3/2 |    698510      |             21     |  97                                           |    L17865
                     |        |  5/2 |    698534      |             23     |  98                                           |    L17865
                     |        |  7/2 |    698570      |             20     |  98                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D).4d      | 2G     |  7/2 |    698851.3    |              2.4   |  96                                           |    L17865
                     |        |  9/2 |    698864.6    |              2.1   |  99                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D).4d      | 2D     |  3/2 |    699891.7    |              2.0   |  96                                           |    L17865
                     |        |  5/2 |    699928.6    |              1.4   |  96                                           |    L17865
                     |        |      |                |                    |                                               |           
