
1s2.2s2.2p3(4.0S).8g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 107001.93313230971 ritzRydberg

1s2.2s2.2p3(4.0S).8g1--3.0G[5.0, 4.0, 3.0], 5.0, 107001.93313230971 ritzRydberg
1s2.2s2.2p3(4.0S).8g1--3.0G[5.0, 4.0, 3.0], 4.0, 107001.93313230971 ritzRydberg
1s2.2s2.2p3(4.0S).8g1--3.0G[5.0, 4.0, 3.0], 3.0, 107001.93313230971 ritzRydberg

1s2.2s2.2p3(4.0S).16s1--5.0S[2.0], 2.0, 107020.185977 ritzRydberg

1s2.2s2.2p3(4.0S).16p1--3.0P[2.0, 1.0, 0.0], 2.0, 107026.638339 ritzRydberg
1s2.2s2.2p3(4.0S).16p1--3.0P[2.0, 1.0, 0.0], 1.0, 107026.638339 ritzRydberg
1s2.2s2.2p3(4.0S).16p1--3.0P[2.0, 1.0, 0.0], 0.0, 107026.638339 ritzRydberg

1s2.2s2.2p3(4.0S).17p1--5.0P[3.0, 2.0, 1.0], 3.0, 107054.490292 ritzRydberg
1s2.2s2.2p3(4.0S).17p1--5.0P[3.0, 2.0, 1.0], 2.0, 107054.490292 ritzRydberg
1s2.2s2.2p3(4.0S).17p1--5.0P[3.0, 2.0, 1.0], 1.0, 107054.490292 ritzRydberg

1s2.2s2.2p3(4.0S).9g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 107100.59563904075 ritzRydberg
1s2.2s2.2p3(4.0S).9g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 107100.59563904075 ritzRydberg
1s2.2s2.2p3(4.0S).9g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 107100.59563904075 ritzRydberg
1s2.2s2.2p3(4.0S).9g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 107100.59563904075 ritzRydberg
1s2.2s2.2p3(4.0S).9g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 107100.59563904075 ritzRydberg

