
1s2.2s1.2p2(4.0P).3p1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 4.0, 223785.51
1s2.2s1.2p2(4.0P).3p1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 3.0, 223731.59
1s2.2s1.2p2(4.0P).3p1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 2.0, 223688.45
1s2.2s1.2p2(4.0P).3p1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 1.0, 223658.55
1s2.2s1.2p2(4.0P).3p1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 0.0, 223643.3

1s2.2s1.2p2(4.0P).3p1--5.0P[3.0, 2.0, 1.0], 3.0, 225671.22
1s2.2s1.2p2(4.0P).3p1--5.0P[3.0, 2.0, 1.0], 2.0, 225627.47
1s2.2s1.2p2(4.0P).3p1--5.0P[3.0, 2.0, 1.0], 1.0, 225603.5

1s2.2s1.2p2(4.0P).3p1--3.0D[3.0, 2.0, 1.0], 3.0, 228791.83
1s2.2s1.2p2(4.0P).3p1--3.0D[3.0, 2.0, 1.0], 2.0, 228731.81
1s2.2s1.2p2(4.0P).3p1--3.0D[3.0, 2.0, 1.0], 1.0, 228694.3

1s2.2s1.2p2(4.0P).3p1--5.0S[2.0], 2.0, 229838.96

1s2.2s1.2p2(4.0P).3p1--3.0P[2.0, 1.0, 0.0], 2.0, 230831.74
1s2.2s1.2p2(4.0P).3p1--3.0P[2.0, 1.0, 0.0], 1.0, 0
1s2.2s1.2p2(4.0P).3p1--3.0P[2.0, 1.0, 0.0], 0.0, 0

1s2.2s1.2p2(4.0P).3d1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 5.0, 243086.94
1s2.2s1.2p2(4.0P).3d1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 4.0, 243046.56
1s2.2s1.2p2(4.0P).3d1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 3.0, 243012.77
1s2.2s1.2p2(4.0P).3d1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 2.0, 242986.76
1s2.2s1.2p2(4.0P).3d1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 1.0, 242969.16

1s2.2s1.2p2(4.0P).3d1--5.0P[3.0, 2.0, 1.0], 3.0, 244353.31
1s2.2s1.2p2(4.0P).3d1--5.0P[3.0, 2.0, 1.0], 2.0, 244391.88
1s2.2s1.2p2(4.0P).3d1--5.0P[3.0, 2.0, 1.0], 1.0, 244418.52

1s2.2s1.2p2(4.0P).3d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 4.0, 244973.31
1s2.2s1.2p2(4.0P).3d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 3.0, 244958.95
1s2.2s1.2p2(4.0P).3d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 2.0, 244947.77
1s2.2s1.2p2(4.0P).3d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 1.0, 244939.89
1s2.2s1.2p2(4.0P).3d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 0.0, 244935.74

1s2.2s1.2p2(4.0P).4f1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 4.0, 268415.27
1s2.2s1.2p2(4.0P).4f1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 3.0, 0
1s2.2s1.2p2(4.0P).4f1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 2.0, 0
1s2.2s1.2p2(4.0P).4f1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 1.0, 0
