T, Cp, H, S
7650, 20.7863640299, 172872.081275, asdf737.919110954
7700, 20.7863610859, 173911.399402, asdf738.000361423
7750, 20.7863582022, 174950.717384, asdf738.081085975
7800, 20.786355377, 175990.035224, asdf738.161291377
7850, 20.7863526087, 177029.352923, asdf738.240984263
7900, 20.786349896, 178068.670485, asdf738.320171141
7950, 20.7863472372, 179107.987914, asdf738.398858397
8000, 20.786344631, 180147.30521, asdf738.477052297
8050, 20.7863420759, 181186.622377, asdf738.554758988
8100, 20.7863395707, 182225.939418, asdf738.631984504
8150, 20.7863371141, 183265.256335, asdf738.708734768
8200, 20.7863347048, 184304.573131, asdf738.785015594
8250, 20.7863323416, 185343.889807, asdf738.860832689
8300, 20.7863300234, 186383.206366, asdf738.936191658
8350, 20.7863277489, 187422.52281, asdf739.011098003
8400, 20.7863255172, 188461.839141, asdf739.085557131
8450, 20.7863233271, 189501.155362, asdf739.159574349
8500, 20.7863211777, 190540.471475, asdf739.233154872
8550, 20.7863190678, 191579.787481, asdf739.306303822
8600, 20.7863169967, 192619.103382, asdf739.379026234
8650, 20.7863149632, 193658.419181, asdf739.451327052
8700, 20.7863129665, 194697.734879, asdf739.523211136
8750, 20.7863110058, 195737.050478, asdf739.594683264
8800, 20.7863090801, 196776.36598, asdf739.66574813
8850, 20.7863071887, 197815.681387, asdf739.73641035
8900, 20.7863053307, 198854.996699, asdf739.806674459
8950, 20.7863035053, 199894.31192, asdf739.87654492
9000, 20.7863017118, 200933.627051, asdf739.946026118
9050, 20.7862999495, 201972.942092, asdf740.015122367
9100, 20.7862982176, 203012.257046, asdf740.083837909
9150, 20.7862965154, 204051.571914, asdf740.152176916
9200, 20.7862948423, 205090.886698, asdf740.220143492
9250, 20.7862931976, 206130.201399, asdf740.287741675
9300, 20.7862915807, 207169.516018, asdf740.354975436
9350, 20.7862899909, 208208.830557, asdf740.421848685
9400, 20.7862884276, 209248.145018, asdf740.488365266
9450, 20.7862868902, 210287.459401, asdf740.554528964
9500, 20.7862853783, 211326.773707, asdf740.620343504
9550, 20.7862838912, 212366.087939, asdf740.685812551
9600, 20.7862824283, 213405.402097, asdf740.750939714
9650, 20.7862809892, 214444.716182, asdf740.815728545
9700, 20.7862795733, 215484.030196, asdf740.880182541
9750, 20.7862781802, 216523.34414, asdf740.944305146
9800, 20.7862768094, 217562.658014, asdf741.008099749
9850, 20.7862754603, 218601.971821, asdf741.071569689
9900, 20.7862741326, 219641.285561, asdf741.134718254
9950, 20.7862728257, 220680.599235, asdf741.197548683
10000, 20.7862715393, 221719.912844, asdf741.260064164
10050, 20.786270273, 222759.226389, asdf741.322267839
10100, 20.7862690262, 223798.539871, asdf741.384162804
10150, 20.7862677986, 224837.853292, asdf741.445752108
10200, 20.7862665899, 225877.166652, asdf741.507038754
10250, 20.7862653996, 226916.479951, asdf741.568025703
10300, 20.7862642273, 227955.793192, asdf741.628715871
10350, 20.7862630727, 228995.106374, asdf741.689112134
10400, 20.7862619355, 230034.419499, asdf741.749217323
10450, 20.7862608153, 231073.732568, asdf741.809034232
10500, 20.7862597117, 232113.045581, asdf741.868565612
10550, 20.7862586245, 233152.35854, asdf741.927814177
10600, 20.7862575533, 234191.671444, asdf741.9867826
10650, 20.7862564977, 235230.984295, asdf742.045473519
10700, 20.7862554576, 236270.297094, asdf742.103889533
10750, 20.7862544325, 237309.609841, asdf742.162033205
10800, 20.7862534223, 238348.922537, asdf742.219907064
10850, 20.7862524266, 239388.235184, asdf742.277513601
10900, 20.7862514451, 240427.54778, asdf742.334855275
10950, 20.7862504776, 241466.860328, asdf742.39193451
11000, 20.7862495238, 242506.172828, asdf742.448753698
11050, 20.7862485834, 243545.485281, asdf742.505315198
11100, 20.7862476563, 244584.797687, asdf742.561621336
11150, 20.7862467421, 245624.110047, asdf742.617674407
11200, 20.7862458406, 246663.422361, asdf742.673476677
11250, 20.7862449516, 247702.734631, asdf742.729030379
11300, 20.7862440748, 248742.046857, asdf742.784337719
11350, 20.7862432101, 249781.359039, asdf742.839400872
11400, 20.7862423571, 250820.671178, asdf742.894221984
11450, 20.7862415158, 251859.983275, asdf742.948803175
11500, 20.7862406858, 252899.29533, asdf743.003146535
11550, 20.7862398671, 253938.607343, asdf743.057254127
11600, 20.7862390593, 254977.919317, asdf743.111127989
11650, 20.7862382622, 256017.23125, asdf743.164770131
11700, 20.7862374758, 257056.543143, asdf743.218182539
11750, 20.7862366998, 258095.854997, asdf743.271367171
11800, 20.786235934, 259135.166813, asdf743.324325961
11850, 20.7862351783, 260174.478591, asdf743.377060821
11900, 20.7862344324, 261213.790331, asdf743.429573636
11950, 20.7862336962, 262253.102034, asdf743.481866267
12000, 20.7862329695, 263292.413701, asdf743.533940553
12050, 20.7862322522, 264331.725331, asdf743.585798311
12100, 20.7862315442, 265371.036926, asdf743.637441334
12150, 20.7862308451, 266410.348486, asdf743.688871392
12200, 20.786230155, 267449.660011, asdf743.740090235
12250, 20.7862294736, 268488.971502, asdf743.79109959
12300, 20.7862288008, 269528.282958, asdf743.841901165
12350, 20.7862281365, 270567.594382, asdf743.892496645
12400, 20.7862274804, 271606.905772, asdf743.942887695
12450, 20.7862268326, 272646.21713, asdf743.993075961
12500, 20.7862261928, 273685.528456, asdf744.043063069
12550, 20.7862255609, 274724.839749, asdf744.092850625
12600, 20.7862249367, 275764.151012, asdf744.142440215
12650, 20.7862243203, 276803.462243, asdf744.191833407
12700, 20.7862237113, 277842.773444, asdf744.241031752
12750, 20.7862231098, 278882.084614, asdf744.29003678
12800, 20.7862225155, 279921.395755, asdf744.338850005
12850, 20.7862219284, 280960.706866, asdf744.387472922
12900, 20.7862213484, 282000.017948, asdf744.435907009
12950, 20.7862207753, 283039.329001, asdf744.484153728
13000, 20.786220209, 284078.640026, asdf744.532214522
13050, 20.7862196495, 285117.951022, asdf744.58009082
13100, 20.7862190965, 286157.261991, asdf744.627784031
13150, 20.7862185501, 287196.572932, asdf744.675295551
13200, 20.7862180101, 288235.883846, asdf744.72262676
13250, 20.7862174764, 289275.194733, asdf744.76977902
13300, 20.7862169489, 290314.505594, asdf744.81675368
13350, 20.7862164275, 291353.816428, asdf744.863552072
13400, 20.7862159122, 292393.127236, asdf744.910175515
13450, 20.7862154028, 293432.438019, asdf744.956625311
13500, 20.7862148992, 294471.748777, asdf745.002902749
13550, 20.7862144014, 295511.059509, asdf745.049009104
13600, 20.7862139092, 296550.370217, asdf745.094945636
13650, 20.7862134226, 297589.6809, asdf745.140713592
13700, 20.7862129415, 298628.991559, asdf745.186314203
13750, 20.7862124658, 299668.302195, asdf745.231748691
13800, 20.7862119954, 300707.612806, asdf745.277018259
13850, 20.7862115303, 301746.923394, asdf745.322124102
13900, 20.7862110704, 302786.233959, asdf745.367067399
13950, 20.7862106156, 303825.544501, asdf745.411849318
14000, 20.7862101657, 304864.855021, asdf745.456471014
14050, 20.7862097209, 305904.165518, asdf745.500933628
14100, 20.7862092809, 306943.475993, asdf745.545238292
14150, 20.7862088457, 307982.786446, asdf745.589386123
14200, 20.7862084152, 309022.096878, asdf745.633378228
14250, 20.7862079895, 310061.407288, asdf745.677215701
14300, 20.7862075683, 311100.717677, asdf745.720899627
14350, 20.7862071516, 312140.028045, asdf745.764431076
14400, 20.7862067394, 313179.338392, asdf745.80781111
14450, 20.7862063316, 314218.648719, asdf745.851040778
14500, 20.7862059282, 315257.959025, asdf745.894121119
14550, 20.786205529, 316297.269312, asdf745.937053161
14600, 20.7862051341, 317336.579578, asdf745.979837922
14650, 20.7862047433, 318375.889825, asdf746.022476408
14700, 20.7862043567, 319415.200052, asdf746.064969617
14750, 20.786203974, 320454.510261, asdf746.107318535
14800, 20.7862035954, 321493.82045, asdf746.149524139
14850, 20.7862032207, 322533.13062, asdf746.191587395
14900, 20.7862028499, 323572.440772, asdf746.233509261
14950, 20.7862024829, 324611.750905, asdf746.275290683
15000, 20.7862021196, 325651.06102, asdf746.3169326
15050, 20.7862017601, 326690.371117, asdf746.35843594
15100, 20.7862014043, 327729.681196, asdf746.399801622
15150, 20.7862010521, 328768.991258, asdf746.441030557
15200, 20.7862007035, 329808.301302, asdf746.482123645
15250, 20.7862003583, 330847.611328, asdf746.52308178
15300, 20.7862000167, 331886.921338, asdf746.563905844
15350, 20.7861996785, 332926.23133, asdf746.604596712
15400, 20.7861993437, 333965.541306, asdf746.645155251
15450, 20.7861990122, 335004.851264, asdf746.685582318
15500, 20.786198684, 336044.161207, asdf746.725878764
15550, 20.7861983591, 337083.471133, asdf746.766045429
15600, 20.7861980374, 338122.781043, asdf746.806083147
15650, 20.7861977188, 339162.090937, asdf746.845992742
15700, 20.7861974034, 340201.400815, asdf746.885775034
