config, term, J, epsion
2s2.2p.(2P<3/2>).6h, 2[7/2, 3, 10.8904167
2s2.2p.(2P<3/2>).6h, 2[7/2, 4, 10.8904168

2s2.2p.(2P<3/2>).6f, 2[3/2, 1, 10.890494
2s2.2p.(2P<3/2>).6f, 2[3/2, 2, 10.890494

2s2.2p.(2P<3/2>).6g, 2[5/2, 3, 10.8905001
2s2.2p.(2P<3/2>).6g, 2[5/2, 2, 10.8905001

2s2.2p.6d, 3P, 1, 10.891259
2s2.2p.6d, 3P, 0, 10.89140

2s2.2p.7p, 1P, 1, 10.918215

2s2.2p.7p, 3D, 1, 10.922016
2s2.2p.7p, 3D, 2, 10.922519
2s2.2p.7p, 3D, 3, 10.927451

2s2.2p.7p, 3P, 0, 10.930438
2s2.2p.7p, 3P, 1, 10.934456
2s2.2p.7p, 3P, 2, 10.935183

2s2.2p.7p, 1D, 2, 10.942892

2s2.2p.7p, 1S, 0, 10.952019

2s2.2p.(2P<1/2>).7d, 2[5/2, 2, 10.972432

2s2.2p.(2P<1/2>).7d, 2[3/2, 2, 10.97799

2s2.2p.(2P<1/2>).8s, 2[1/2, 0, 10.978029

2s2.2p.(2P<1/2>).7d, 2[5/2, 3, 10.978183

2s2.2p.(2P<1/2>).8s, 2[1/2, 1, 10.9786885

2s2.2p.(2P<1/2>).7d, 2[3/2, 1, 10.979869

2s2.2p.(2P<1/2>).7f, 2[5/2, 3, 10.981887
2s2.2p.(2P<1/2>).7f, 2[5/2, 2, 10.981888

2s2.2p.(2P<1/2>).7f, 2[7/2, 4, 10.981945
2s2.2p.(2P<1/2>).7f, 2[7/2, 3, 10.981945

2s2.2p.(2P<3/2>).8s, 2[3/2, 2, 10.983051

2s2.2p.(2P<3/2>).7d, 2[7/2, 4, 10.984525

2s2.2p.(2P<3/2>).7d, 2[5/2, 2, 10.985590
2s2.2p.(2P<3/2>).7d, 2[5/2, 3, 10.985783

2s2.2p.(2P<3/2>).8s, 2[3/2, 1, 10.986862

2s2.2p.(2P<3/2>).7d, 2[7/2, 3, 10.988102

2s2.2p.(2P<3/2>).7f, 2[7/2, 3, 10.989219
2s2.2p.(2P<3/2>).7f, 2[7/2, 4, 10.989230

2s2.2p.(2P<3/2>).7f, 2[5/2, 3, 10.989751
2s2.2p.(2P<3/2>).7f, 2[5/2, 2, 10.989751

2s2.2p.(2P<3/2>).7d, 2[3/2, 1, 10.989834
2s2.2p.(2P<3/2>).7d, 2[3/2, 2, 10.98985

2s2.2p.(2P<3/2>).7f, 2[9/2, 5, 10.99013
2s2.2p.(2P<3/2>).7f, 2[9/2, 4, 10.99015

2s2.2p.(2P<3/2>).7f, 2[3/2, 2, 10.990624
2s2.2p.(2P<3/2>).7f, 2[3/2, 1, 10.990625

2s2.2p.(2P<3/2>).7d, 2[1/2, 1, 10.99081
2s2.2p.(2P<3/2>).7d, 2[1/2, 0, 10.99100

2s2.2p.(2P<1/2>).8p, 2[3/2, 1, 11.005709

2s2.2p.(2P<1/2>).8p, 2[1/2, 2, 11.0084
2s2.2p.(2P<1/2>).8p, 2[1/2, 1, 11.008664

2s2.2p.(2P<3/2>).8p, 2[5/2, 3, 11.014279

2s2.2p.(2P<3/2>).8p, 2[3/2, 2, 11.018972

2s2.2p.(2P<3/2>).8p, 2[5/2, 2, 11.023878

2s2.2p.(2P<3/2>).8p, 2[1/2, 0, 11.029715

2s2.2p.(2P<1/2>).8d, 2[5/2, 2, 11.041310

2s2.2p.(2P<1/2>).8d, 2[3/2, 2, 11.0447

2s2.2p.(2P<1/2>).9s, 2[1/2, 0, 11.044716

2s2.2p.(2P<1/2>).8d, 2[5/2, 3, 11.044755

2s2.2p.(2P<1/2>).9s, 2[1/2, 1, 11.045181

