config, term, J, epsion
2s2.2p2.(3P).6d, 4F, 4.5, 114245.309

2s2.2p2.(3P).6d, 4P, 0.5, 114249.5

2s2.2p2.(3P).6d, 2F, 3.5, 114262.1

2s2.2p2.(3P).6d, 4D, 0.5, 114271.8
2s2.2p2.(3P).6d, 4D, 1.5, 114272.6
2s2.2p2.(3P).6d, 4D, 2.5, 114274.0
2s2.2p2.(3P).6d, 4D, 3.5, 114274.1

2s2.2p2.(3P).6d, 2D, 1.5, 114277.0
2s2.2p2.(3P).6d, 2D, 2.5, 114293.5

2s2.2p2.(3P<2>)., 2[1], 0.5, 114296.19
2s2.2p2.(3P<2>)., 2[1], 1.5, 114296.19

2s2.2p2.(3P<2>)., 2[5], 4.5, 114300.110
2s2.2p2.(3P<2>)., 2[5], 5.5, 114300.110

2s2.2p2.(3P<2>)., 2[2], 1.5, 114302.02
2s2.2p2.(3P<2>)., 2[2], 2.5, 114302.02

2s2.2p2.(3P<2>)., 2[3], 2.5, 114306.69
2s2.2p2.(3P<2>)., 2[3], 3.5, 114306.69

2s2.2p2.(3P<2>)., 2[4], 3.5, 114307.79
2s2.2p2.(3P<2>)., 2[4], 4.5, 114307.79

2s2.2p2.(3P).7p, 4D, 3.5, 114545.6

2s2.2p2.(3P).8s, 4P, 0.5, 114894.0
2s2.2p2.(3P).8s, 4P, 1.5, 114939.1

2s2.2p2.(3P).7d, 4F, 1.5, 114952.5
2s2.2p2.(3P).7d, 4F, 2.5, 114959.0

2s2.2p2.(3P).8s, 2P, 0.5, 114963.1

2s2.2p2.(3P).7d, 2P, 1.5, 114992.8

2s2.2p2.(3P).7d, 2F, 2.5, 115003.0

2s2.2p2.(3P).7d, 4F, 3.5, 115003.6

2s2.2p2.(3P).7d, 2P, 0.5, 115009.9

2s2.2p2.(3P).7d, 4P, 2.5, 115011.0
2s2.2p2.(3P).7d, 4P, 1.5, 115018.7

2s2.2p2.(3P).8s, 4P, 2.5, 115021.3

2s2.2p2.(3P).8s, 2P, 1.5, 115033.4

2s2.2p2.(3P).7d, 4F, 4.5, 115077.2

2s2.2p2.(3P).7d, 2F, 3.5, 115086.9

2s2.2p2.(3P).7d, 4D, 0.5, 115093.3
2s2.2p2.(3P).7d, 4D, 3.5, 115094.4
2s2.2p2.(3P).7d, 4D, 1.5, 115094.5
2s2.2p2.(3P).7d, 4D, 2.5, 115094.6

2s2.2p2.(3P).7d, 2D, 1.5, 115100.0
2s2.2p2.(3P).7d, 2D, 2.5, 115106.2

2s2.2p2.(3P).9s, 4P, 0.5, 115449.5

2s2.2p2.(3P).9s, 2P, 0.5, 115480
2s2.2p2.(3P).9s, 2P, 1.5, 115480

2s2.2p2.(3P).9s, 4P, 1.5, 115495.5

2s2.2p2.(3P).8d, 4F, 2.5, 115495.5

2s2.2p2.(3P).8d, 2P, 0.5, 115530
2s2.2p2.(3P).8d, 2P, 1.5, 115535.4

2s2.2p2.(3P).8d, 4F, 3.5, 115537.8

2s2.2p2.(3P).8d, 2F, 2.5, 115538.4

2s2.2p2.(3P).9s, 4P, 2.5, 115576.6

2s2.2p2.(3P).8d, 2D, 1.5, 115597

2s2.2p2.(3P).8d, 4F, 4.5, 115613.3

2s2.2p2.(3P).8d, 4P, 0.5, 115618
2s2.2p2.(3P).8d, 4P, 1.5, 115618
2s2.2p2.(3P).8d, 4P, 2.5, 115618

2s2.2p2.(3P).8d, 2F, 3.5, 115620.6

2s2.2p2.(3P).8d, 4D, 0.5, 115624.5
2s2.2p2.(3P).8d, 4D, 1.5, 115626.9
2s2.2p2.(3P).8d, 4D, 2.5, 115626.9
2s2.2p2.(3P).8d, 4D, 3.5, 115627.7

2s2.2p2.(3P).8d, 2D, 2.5, 115633.5

2s2.2p2.(3P).10s, 4P, 0.5, 115829.3

2s2.2p2.(3P).10s, 2P, 0.5, 115842
2s2.2p2.(3P).10s, 2P, 1.5, 115842

2s2.2p2.(3P).10s, 4P, 1.5, 115876.5

2s2.2p2.(3P).9d, 4D, 0.5, 115887
2s2.2p2.(3P).9d, 4D, 1.5, 115887
2s2.2p2.(3P).9d, 4D, 2.5, 115887
2s2.2p2.(3P).9d, 4D, 3.5, 115887

2s2.2p2.(3P).9d, 2P, 0.5, 115889
2s2.2p2.(3P).9d, 2P, 1.5, 115889

