---------------------------------------------------------------------------------------------------------
Configuration      | Term   |     J |                Level (cm-1) |       Uncertainty (cm-1) | Reference
1s.8h              | 3H*    |     5 |         [196596.241066328]  |            0.000000001   |     L8948
                   |        |     6 |         [196596.241506841]  |            0.000000001   |     L8948
                   |        |     4 |         [196596.241906662]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.8h              | 1H*    |     5 |         [196596.242205021]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.8i              | 3I     |     6 |         [196596.251052062]  |            0.000000001   |     L8948
                   |        |     7 |         [196596.251361035]  |            0.000000001   |     L8948
                   |        |     5 |         [196596.251642570]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.8i              | 1I     |     6 |         [196596.251866245]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.8k              | 3K*    |     7 |         [196596.254898015]  |            0.000000001   |     L8948
                   |        |     8 |         [196596.255126492]  |            0.000000001   |     L8948
                   |        |     6 |         [196596.255335763]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.8k              | 1K*    |     7 |         [196596.255509048]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.8p              | 1P*    |     1 |         [196601.4002470]    |            0.0000010     |     L8948
                   |        |       |                             |                          |           
1s.9s              | 3S     |     1 |         [196861.9873396]    |            0.0000017     |     L8948
                   |        |       |                             |                          |           
1s.9s              | 1S     |     0 |         [196912.9026855]    |            0.0000017     |     L8948
                   |        |       |                             |                          |           
1s.9p              | 3P*    |     2 |         [196935.3314182]    |            0.0000007     |     L8948
                   |        |     1 |         [196935.3321700]    |            0.0000007     |     L8948
                   |        |     0 |         [196935.3414081]    |            0.0000007     |     L8948
                   |        |       |                             |                          |           
1s.9d              | 3D     |     3 |         [196955.22652671]   |            0.00000003    |     L8948
                   |        |     2 |         [196955.22664143]   |            0.00000003    |     L8948
                   |        |     1 |         [196955.22825838]   |            0.00000003    |     L8948
                   |        |       |                             |                          |           
1s.9d              | 1D     |     2 |         [196955.44875025]   |            0.00000003    |     L8948
                   |        |       |                             |                          |           
1s.9f              | 3F*    |     3 |         [196955.945016545]  |            0.000000007   |     L8948
                   |        |     4 |         [196955.945429077]  |            0.000000007   |     L8948
                   |        |     2 |         [196955.946184774]  |            0.000000007   |     L8948
                   |        |       |                             |                          |           
1s.9f              | 1F*    |     3 |         [196955.947387145]  |            0.000000007   |     L8948
                   |        |       |                             |                          |           
1s.9g              | 3G     |     4 |         [196956.037863250]  |            0.000000002   |     L8948
                   |        |     5 |         [196956.038337114]  |            0.000000002   |     L8948
                   |        |     3 |         [196956.038768917]  |            0.000000002   |     L8948
                   |        |       |                             |                          |           
1s.9g              | 1G     |     4 |         [196956.039060906]  |            0.000000002   |     L8948
                   |        |       |                             |                          |           
1s.9h              | 3H*    |     5 |         [196956.060281828]  |            0.000000001   |     L8948
                   |        |     6 |         [196956.060591214]  |            0.000000001   |     L8948
                   |        |     4 |         [196956.060872018]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.9h              | 1H*    |     5 |         [196956.061081567]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
