T, Cp, H, S
13700, 78.8568794002, 284789.914108, 24.5912680078
13750, 80.3197795889, 285829.577709, 24.8054752056
13800, 81.8055113239, 286869.249412, 25.024256451
13850, 83.3135054639, 287908.929294, 25.2476602175
13900, 84.8431469718, 288948.617424, 25.4757323211
13950, 86.3937745726, 289988.313866, 25.7085157929
14000, 87.9646805132, 291028.018679, 25.946050753
14050, 89.5551104297, 292067.731914, 26.1883742864
14100, 91.1642633266, 293107.453618, 26.4355203203
14150, 92.7912916733, 294147.18383, 26.6875195036
14200, 94.4353016223, 295186.922584, 26.94439909
14250, 96.0953533525, 296226.669905, 27.2061828227
14300, 97.7704615418, 297266.425812, 27.4728908241
14350, 99.459595973, 298306.190317, 27.744539488
14400, 101.161682275, 299345.963424, 28.0211413767
14450, 102.8756028, 300385.745129, 28.302705123
14500, 104.600197646, 301425.535421, 28.589235336
14550, 106.334265817, 302465.334281, 28.8807325135
14600, 108.07656652, 303505.141681, 29.1771929595
14650, 109.825820618, 304544.957586, 29.4786087079
14700, 111.580712215, 305584.781952, 29.7849674527
14750, 113.339890379, 306624.614727, 30.0962524852
14800, 115.101971019, 307664.455849, 30.4124426377
14850, 116.865538878, 308704.30525, 30.7335122358
14900, 118.629149683, 309744.16285, 31.0594310572
14950, 120.3913324, 310784.028563, 31.3901642997
15000, 122.150591639, 311823.902294, 31.7256725564
15050, 123.905410156, 312863.783938, 32.0659118007
15100, 125.654251487, 313903.673381, 32.410833379
15150, 127.395562678, 314943.570503, 32.760384013
15200, 129.127777117, 315983.475172, 33.1145058108
15250, 130.849317463, 317023.38725, 33.4731362878
15300, 132.55859865, 318063.30659, 33.8362083962
15350, 134.254030973, 319103.233034, 34.2036505646
15400, 135.934023225, 320143.166419, 34.5753867467
15450, 137.596985906, 321183.106572, 34.9513364798
15500, 139.241334456, 322223.053313, 35.3314149525
15550, 140.865492532, 323263.006453, 35.7155330817
15600, 142.4678953, 324302.965797, 36.1035975996
15650, 144.046992732, 325342.931141, 36.4955111489
15700, 145.601252906, 326382.902275, 36.8911723878
15750, 147.129165282, 327422.87898, 37.2904761032
15800, 148.629243955, 328462.861033, 37.693313333
15850, 150.100030862, 329502.848202, 38.0995714958
15900, 151.540098936, 330542.84025, 38.5091345302
15950, 152.9480552, 331582.836936, 38.9218830396
16000, 154.322543774, 332622.838009, 39.3376944461
16050, 155.662248797, 333662.843218, 39.7564431502
16100, 156.965897252, 334702.852302, 40.1780006975
16150, 158.232261668, 335742.864999, 40.6022359509
16200, 159.460162714, 336782.881043, 41.0290152691
16250, 160.648471647, 337822.90016, 41.4582026889
16300, 161.796112628, 338862.922078, 41.8896601133
16350, 162.902064884, 339902.946518, 42.323247503
16400, 163.96536471, 340942.973201, 42.7588230711
16450, 164.985107312, 341983.001844, 43.1962434811
16500, 165.960448469, 343023.032162, 43.6353640469
16550, 166.890606031, 344063.063869, 44.0760389351
16600, 167.774861221, 345103.096679, 44.5181213677
16650, 168.612559762, 346143.130304, 44.9614638261
16700, 169.403112812, 347183.164456, 45.4059182546
16750, 170.145997712, 348223.198848, 45.8513362636
16800, 170.840758537, 349263.233191, 46.297569332
16850, 171.487006461, 350303.2672, 46.7444690075
16900, 172.084419934, 351343.30059, 47.1918871047
16950, 172.632744662, 352383.333077, 47.6396759012
17000, 173.131793413, 353423.364379, 48.0876883294
17050, 173.581445628, 354463.394219, 48.5357781658
17100, 173.981646868, 355503.422319, 48.9838002152
17150, 174.332408073, 356543.448407, 49.4316104909
17200, 174.633804666, 357583.472212, 49.8790663895
17250, 174.885975492, 358623.493469, 50.326026861
17300, 175.089121596, 359663.511916, 50.7723525718
17350, 175.243504869, 360703.527296, 51.2179060634
17400, 175.349446541, 361743.539355, 51.6625519032
17450, 175.407325553, 362783.547845, 52.1061568292
17500, 175.417576806, 363823.552524, 52.5485898883
17550, 175.380689296, 364863.553155, 52.9897225663
17600, 175.297204148, 365903.549504, 53.429428912
17650, 175.167712556, 366943.541347, 53.8675856525
17700, 174.992853644, 367983.528464, 54.3040723016
17750, 174.773312245, 369023.51064, 54.738771261
17800, 174.509816628, 370063.487669, 55.1715679123
17850, 174.203136159, 371103.459349, 55.6023507031
17900, 173.854078928, 372143.425486, 56.0310112237
17950, 173.463489335, 373183.385893, 56.4574442766
18000, 173.032245658, 374223.34039, 56.8815479391
18050, 172.561257592, 375263.288802, 57.3032236168
18100, 172.051463798, 376303.230964, 57.7223760908
18150, 171.50382944, 377343.166715, 58.1389135564
18200, 170.919343736, 378383.095903, 58.5527476557
18250, 170.299017531, 379423.018383, 58.963793502
18300, 169.643880887, 380462.934018, 59.371969698
18350, 168.954980711, 381502.842675, 59.7771983466
18400, 168.233378417, 382542.744232, 60.1794050554
18450, 167.480147639, 383582.638571, 60.5785189355
18500, 166.696371989, 384622.525584, 60.9744725929
18550, 165.88314287, 385662.405167, 61.3672021152
18600, 165.041557356, 386702.277226, 61.7566470519
18650, 164.172716129, 387742.141671, 62.1427503898
18700, 163.277721489, 388781.998421, 62.5254585234
18750, 162.357675436, 389821.847401, 62.9047212199
18800, 161.413677822, 390861.688543, 63.2804915801
18850, 160.446824589, 391901.521784, 63.652725995
18900, 159.458206074, 392941.34707, 64.0213840982
18950, 158.448905409, 393981.164352, 64.3864287149
19000, 157.41999699, 395020.973586, 64.7478258071
19050, 156.372545038, 396060.774736, 65.1055444155
19100, 155.307602235, 397100.567771, 65.4595565993
19150, 154.226208456, 398140.352666, 65.8098373724
19200, 153.129389568, 399180.129401, 66.1563646377
19250, 152.018156325, 400219.897964, 66.499119119
19300, 150.89350334, 401259.658344, 66.8380842916
19350, 149.756408132, 402299.410539, 67.1732463104
19400, 148.607830267, 403339.15455, 67.5045939372
19450, 147.448710557, 404378.890384, 67.8321184664
19500, 146.279970355, 405418.618052, 68.1558136502
19550, 145.102510911, 406458.33757, 68.4756756227
19600, 143.917212804, 407498.048958, 68.7917028232
19650, 142.724935446, 408537.75224, 69.1038959198
19700, 141.526516649, 409577.447445, 69.412257732
19750, 140.322772265, 410617.134605, 69.716793154
19800, 139.114495879, 411656.813756, 70.0175090774
19850, 137.902458568, 412696.484937, 70.3144143151
19900, 136.687408716, 413736.148193, 70.6075195246
19950, 135.470071886, 414775.803568, 70.8968371327
20000, 134.251150739, 415815.451114, 71.1823812604
20050, 133.031325008, 416855.090881, 71.4641676486
20100, 131.811251514, 417894.722925, 71.7422135853
20150, 130.591564228, 418934.347304, 72.016537833
20200, 129.372874376, 419973.964079, 72.2871605576
20250, 128.15577058, 421013.573312, 72.5541032588
20300, 126.940819034, 422053.175067, 72.8173887008
20350, 125.728563721, 423092.769413, 73.0770408456
20400, 124.519526648, 424132.356418, 73.3330847865
20450, 123.314208126, 425171.936152, 73.585546684
20500, 122.113087059, 426211.508689, 73.8344537023
20550, 120.916621274, 427251.074103, 74.0798339481
20600, 119.725247857, 428290.632468, 74.3217164105
20650, 118.539383521, 429330.183862, 74.5601309026
20700, 117.359424985, 430369.728363, 74.7951080048
20750, 116.185749371, 431409.26605, 75.0266790094
20800, 115.018714615, 432448.797004, 75.2548758674
20850, 113.858659885, 433488.321305, 75.4797311364
20900, 112.705906022, 434527.839036, 75.7012779303
20950, 111.560755971, 435567.350278, 75.919549871
21000, 110.42349524, 436606.855116, 76.1345810411
21050, 109.294392345, 437646.353633, 76.3464059388
21100, 108.173699275, 438685.845913, 76.555059434
21150, 107.061651947, 439725.33204, 76.7605767265
21200, 105.958470678, 440764.812101, 76.9629933053
21250, 104.86436064, 441804.286179, 77.1623449095
21300, 103.77951233, 442843.75436, 77.3586674912
21350, 102.704102028, 443883.216729, 77.5519971796
21400, 101.638292261, 444922.673371, 77.7423702464
21450, 100.582232257, 445962.124372, 77.9298230731
21500, 99.5360583976, 447001.569816, 78.1143921195
21550, 98.4998946691, 448041.009788, 78.2961138936
21600, 97.4738531038, 449080.444374, 78.4750249231
21650, 96.4580342179, 450119.873656, 78.6511617278
21700, 95.4525274426, 451159.29772, 78.824560794
21750, 94.457411548, 452198.716649, 78.9952585493
21800, 93.4727550609, 453238.130525, 79.1632913395
21850, 92.498616673, 454277.539433, 79.3286954065
21900, 91.5350456433, 455316.943453, 79.4915068666
21950, 90.5820821908, 456356.342667, 79.6517616911
22000, 89.6397578792, 457395.737157, 79.8094956875
22050, 88.7080959928, 458435.127003, 79.9647444815
22100, 87.7871119035, 459474.512285, 80.1175435005
22150, 86.8768134294, 460513.893082, 80.2679279577
22200, 85.9772011827, 461553.269472, 80.4159328377
22250, 85.0882689107, 462592.641533, 80.5615928826
22300, 84.2100038251, 463632.009342, 80.704942579
22350, 83.342386924, 464671.372976, 80.8460161461
22400, 82.4853933034, 465710.732509, 80.9848475248
22450, 81.6389924602, 466750.088016, 81.121470367
22500, 80.8031485852, 467789.439572, 81.2559180262
22550, 79.9778208481, 468828.787249, 81.3882235486
22600, 79.1629636719, 469868.131119, 81.5184196652
22650, 78.3585269997, 470907.471255, 81.6465387843
22700, 77.564456552, 471946.807725, 81.7726129847
22750, 76.7806940749, 472986.1406, 81.8966740096
22800, 76.0071775804, 474025.469949, 82.018753261
22850, 75.2438415779, 475064.795839, 82.138881795
22900, 74.4906172967, 476104.118337, 82.2570903174
22950, 73.7474329014, 477143.43751, 82.3734091794
23000, 73.0142136987, 478182.753422, 82.4878683748
23050, 72.290882336, 479222.066139, 82.6004975368
23100, 71.5773589929, 480261.375722, 82.7113259356
23150, 70.8735615648, 481300.682236, 82.8203824766
23200, 70.1794058393, 482339.98574, 82.9276956986
23250, 69.4948056654, 483379.286297, 83.0332937726
23300, 68.8196731155, 484418.583965, 83.137204501
23350, 68.1539186409, 485457.878805, 83.2394553174
23400, 67.4974512207, 486497.170873, 83.3400732859
23450, 66.8501785038, 487536.460227, 83.4390851019
23500, 66.2120069452, 488575.746923, 83.5365170918
23550, 65.5828419359, 489615.031017, 83.6323952146
23600, 64.9625879269, 490654.312562, 83.7267450622
23650, 64.3511485479, 491693.591614, 83.819591861
23700, 63.7484267198, 492732.868223, 83.9109604733
23750, 63.1543247623, 493772.142444, 84.0008753987
23800, 62.5687444966, 494811.414325, 84.0893607767
23850, 61.9915873424, 495850.683918, 84.176440388
23900, 61.4227544101, 496889.951273, 84.2621376572
23950, 60.8621465895, 497929.216437, 84.3464756552
24000, 60.3096646323, 498968.479458, 84.4294771015
24050, 59.7652092316, 500007.740384, 84.5111643675
24100, 59.2286810966, 501046.99926, 84.5915594785
24150, 58.6999810232, 502086.256132, 84.6706841175
24200, 58.1790099611, 503125.511044, 84.7485596279
24250, 57.6656690769, 504164.764041, 84.8252070164
24300, 57.1598598137, 505204.015165, 84.9006469571
24350, 56.6614839472, 506243.264458, 84.9748997938
24400, 56.1704436386, 507282.511962, 85.0479855446
24450, 55.686641484, 508321.757718, 85.1199239043
24500, 55.2099805612, 509361.001766, 85.1907342489
24550, 54.7403644733, 510400.244145, 85.2604356384
24600, 54.2776973895, 511439.484894, 85.3290468213
24650, 53.8218840832, 512478.72405, 85.3965862378
24700, 53.3728299678, 513517.961652, 85.4630720235
24750, 52.9304411293, 514557.197735, 85.5285220135
24800, 52.4946243577, 515596.432335, 85.5929537462
24850, 52.065287175, 516635.665487, 85.656384467
24900, 51.6423378617, 517674.897227, 85.7188311319
24950, 51.2256854811, 518714.127588, 85.780310412
25000, 50.8152399016, 519753.356603, 85.8408386968
25050, 50.410911817, 520792.584305, 85.9004320984
25100, 50.0126127654, 521831.810726, 85.9591064553
25150, 49.6202551458, 522871.035897, 86.0168773361
25200, 49.2337522337, 523910.25985, 86.0737600437
25250, 48.853018195, 524949.482614, 86.1297696189
25300, 48.4779680978, 525988.70422, 86.1849208442
25350, 48.1085179236, 527027.924696, 86.2392282481
25400, 47.744584577, 528067.14407, 86.2927061082
25450, 47.3860858939, 529106.362372, 86.3453684555
25500, 47.0329406485, 530145.579628, 86.3972290782
25550, 46.6850685595, 531184.795865, 86.448301525
25600, 46.3423902947, 532224.01111, 86.4985991094
25650, 46.0048274753, 533263.225388, 86.5481349129
25700, 45.6723026785, 534302.438726, 86.5969217889
25750, 45.3447394399, 535341.651147, 86.6449723663
25800, 45.0220622539, 536380.862676, 86.6922990532
25850, 44.7041965751, 537420.073338, 86.7389140404
25900, 44.3910688169, 538459.283156, 86.7848293046
25950, 44.0826063511, 539498.492152, 86.8300566125
26000, 43.7787375054, 540537.700349, 86.8746075239
26050, 43.4793915617, 541576.90777, 86.9184933952
26100, 43.1844987525, 542616.114436, 86.9617253827
26150, 42.8939902572, 543655.320368, 87.004314446
26200, 42.6077981986, 544694.525587, 87.0462713516
26250, 42.3258556375, 545733.730113, 87.0876066756
26300, 42.0480965681, 546772.933967, 87.1283308073
26350, 41.7744559122, 547812.137168, 87.1684539524
26400, 41.5048695136, 548851.339734, 87.2079861359
26450, 41.2392741314, 549890.541686, 87.2469372057
26500, 40.9776074335, 550929.743042, 87.2853168349
26550, 40.7198079897, 551968.943818, 87.3231345256
26600, 40.4658152646, 553008.144034, 87.3603996114
26650, 40.2155696097, 554047.343706, 87.3971212603
26700, 39.9690122557, 555086.542852, 87.433308478
26750, 39.7260853048, 556125.741488, 87.4689701105
26800, 39.4867317222, 557164.93963, 87.5041148469
26850, 39.2508953275, 558204.137294, 87.538751222
26900, 39.0185207869, 559243.334497, 87.5728876195
26950, 38.7895536034, 560282.531252, 87.6065322744
27000, 38.5639401088, 561321.727576, 87.6396932754
27050, 38.3416274542, 562360.923483, 87.6723785681
27100, 38.1225636013, 563400.118987, 87.7045959571
27150, 37.9066973126, 564439.314103, 87.7363531085
27200, 37.6939781428, 565478.508844, 87.7676575528
27250, 37.484356429, 566517.703224, 87.7985166869
27300, 37.2777832814, 567556.897255, 87.8289377767
27350, 37.0742105741, 568596.090952, 87.8589279597
27400, 36.8735909351, 569635.284327, 87.8884942468
27450, 36.6758777373, 570674.477391, 87.9176435248
