T, Cp, H, S
16700, 77.5366818758, 347145.165298, 28.3693175612
16750, 78.4218204641, 348184.765064, 28.5402975585
16800, 79.3081528011, 349224.368362, 28.7134080674
16850, 80.1953114044, 350263.975167, 28.8886394281
16900, 81.0829239693, 351303.585452, 29.0659809706
16950, 81.9706136885, 352343.199188, 29.245421013
17000, 82.8579995826, 353382.816343, 29.4269468604
17050, 83.7446968405, 354422.436885, 29.610544805
17100, 84.6303171692, 355462.060778, 29.7962001277
17150, 85.5144691536, 356501.687986, 29.9838970998
17200, 86.396758624, 357541.31847, 30.1736189865
17250, 87.2767890321, 358580.95219, 30.3653480508
17300, 88.1541618342, 359620.589104, 30.5590655592
17350, 89.028476882, 360660.229167, 30.7547517877
17400, 89.8993328184, 361699.872334, 30.9523860292
17450, 90.7663274801, 362739.518557, 31.1519466019
17500, 91.6290583041, 363779.167787, 31.3534108589
17550, 92.4871227393, 364818.819971, 31.5567551984
17600, 93.3401186605, 365858.475059, 31.7619550753
17650, 94.1876447862, 366898.132994, 31.9689850137
17700, 95.0293010976, 367937.793722, 32.1778186206
17750, 95.8646892594, 368977.457183, 32.3884286
17800, 96.69341304, 370017.123319, 32.6007867687
17850, 97.5150787331, 371056.792069, 32.8148640727
17900, 98.3292955763, 372096.463371, 33.0306306044
17950, 99.1356761691, 373136.13716, 33.2480556213
18000, 99.9338368872, 374175.813371, 33.4671075647
18050, 100.723398295, 375215.491937, 33.6877540803
18100, 101.503985549, 376255.172791, 33.9099620389
18150, 102.275228807, 377294.855863, 34.1336975582
18200, 103.036763616, 378334.541082, 34.3589260254
18250, 103.788231306, 379374.228377, 34.5856121206
18300, 104.52927937, 380413.917674, 34.8137198407
18350, 105.259561843, 381453.6089, 35.0432125245
18400, 105.978739659, 382493.301979, 35.2740528778
18450, 106.686481014, 383532.996835, 35.5062029998
18500, 107.382461707, 384572.693392, 35.7396244095
18550, 108.066365475, 385612.39157, 35.9742780733
18600, 108.73788432, 386652.091292, 36.2101244322
18650, 109.396718815, 387691.792477, 36.4471234308
18700, 110.042578405, 388731.495045, 36.6852345452
18750, 110.675181691, 389771.198915, 36.9244168127
18800, 111.294256705, 390810.904006, 37.1646288608
18850, 111.899541163, 391850.610236, 37.4058289371
18900, 112.490782709, 392890.317521, 37.6479749394
18950, 113.067739145, 393930.025779, 37.8910244457
19000, 113.630178642, 394969.734925, 38.134934745
19050, 114.177879938, 396009.444878, 38.3796628674
19100, 114.710632516, 397049.155551, 38.6251656149
19150, 115.228236772, 398088.866862, 38.8713995925
19200, 115.730504163, 399128.578725, 39.1183212381
19250, 116.217257337, 400168.291056, 39.3658868541
19300, 116.688330251, 401208.003772, 39.6140526373
19350, 117.143568267, 402247.716786, 39.8627747096
19400, 117.582828235, 403287.430016, 40.1120091485
19450, 118.005978557, 404327.143376, 40.3617120168
19500, 118.412899238, 405366.856784, 40.6118393929
19550, 118.803481915, 406406.570155, 40.8623474003
19600, 119.177629871, 407446.283406, 41.1131922367
19650, 119.535258037, 408485.996454, 41.3643302029
19700, 119.876292973, 409525.709216, 41.6157177316
19750, 120.200672834, 410565.421611, 41.8673114153
19800, 120.508347322, 411605.133557, 42.119068034
19850, 120.799277622, 412644.844973, 42.3709445824
19900, 121.073436319, 413684.555779, 42.6228982963
19950, 121.330807309, 414724.265896, 42.8748866791
20000, 121.571385687, 415763.975244, 43.1268675268
20050, 121.795177625, 416803.683746, 43.3787989534
20100, 122.002200235, 417843.391325, 43.6306394146
20150, 122.192481427, 418883.097903, 43.8823477319
20200, 122.366059736, 419922.803407, 44.1338831153
20250, 122.522984158, 420962.507761, 44.3852051855
20300, 122.663313963, 422002.210892, 44.6362739956
20350, 122.787118497, 423041.912728, 44.8870500514
