T, Cp, H, S
9250, 23.1122974607, 192274.113618, 19.6964353592
9300, 23.1158297783, 193313.434132, 19.708984863
9350, 23.1191860912, 194352.754542, 19.7214855444
9400, 23.1223693031, 195392.07485, 19.733936993
9450, 23.1253822907, 196431.395055, 19.7463388207
9500, 23.1282279035, 197470.715156, 19.7586906603
9550, 23.1309089627, 198510.035155, 19.7709921655
9600, 23.1334282616, 199549.35505, 19.7832430099
9650, 23.1357885642, 200588.674841, 19.7954428868
9700, 23.1379926056, 201627.994529, 19.8075915084
9750, 23.1400430913, 202667.314114, 19.8196886053
9800, 23.1419426969, 203706.633595, 19.8317339259
9850, 23.143694068, 204745.952973, 19.8437272362
9900, 23.14529982, 205785.272248, 19.8556683189
9950, 23.1467625377, 206824.591419, 19.8675569731
10000, 23.1480847754, 207863.910488, 19.879393014
10050, 23.1492690566, 208903.229453, 19.8911762719
10100, 23.1503178742, 209942.548316, 19.9029065923
10150, 23.15123369, 210981.867076, 19.9145838352
10200, 23.1520189352, 212021.185734, 19.9262078747
10250, 23.15267601, 213060.50429, 19.9377785984
10300, 23.1532072838, 214099.822744, 19.9492959074
10350, 23.1536150951, 215139.141097, 19.9607597153
10400, 23.1539017519, 216178.459348, 19.9721699485
10450, 23.1540695315, 217217.777498, 19.9835265453
10500, 23.1541206806, 218257.095548, 19.9948294556
10550, 23.1540574155, 219296.413497, 20.0060786407
10600, 23.1538819225, 220335.731347, 20.0172740729
10650, 23.1535963577, 221375.049097, 20.0284157351
10700, 23.1532028472, 222414.366747, 20.0395036203
10750, 23.1527034877, 223453.684299, 20.0505377316
10800, 23.152100346, 224493.001753, 20.0615180818
10850, 23.1513954601, 225532.319108, 20.0724446928
10900, 23.1505908386, 226571.636366, 20.0833175955
10950, 23.1496884617, 227610.953527, 20.0941368298
11000, 23.1486902806, 228650.270591, 20.1049024436
11050, 23.1475982187, 229689.587559, 20.1156144933
11100, 23.1464141712, 230728.904431, 20.1262730429
11150, 23.1451400056, 231768.221208, 20.1368781641
11200, 23.1437775622, 232807.537889, 20.147429936
11250, 23.1423286541, 233846.854477, 20.1579284446
11300, 23.1407950675, 234886.170971, 20.1683737828
11350, 23.1391785625, 235925.487371, 20.1787660502
11400, 23.1374808728, 236964.803679, 20.1891053527
11450, 23.1357037064, 238004.119894, 20.1993918023
11500, 23.1338487459, 239043.436017, 20.2096255171
11550, 23.1319176489, 240082.75205, 20.2198066205
11600, 23.129912048, 241122.067991, 20.229935242
11650, 23.1278335519, 242161.383842, 20.2400115158
11700, 23.1256837449, 243200.699604, 20.2500355816
11750, 23.1234641878, 244240.015276, 20.2600075839
11800, 23.1211764184, 245279.33086, 20.269927672
11850, 23.1188219513, 246318.646356, 20.2797959997
11900, 23.116402279, 247357.961765, 20.2896127251
11950, 23.1139188716, 248397.277086, 20.2993780106
12000, 23.111373178, 249436.592321, 20.3090920228
12050, 23.1087666254, 250475.907471, 20.318754932
12100, 23.1061006205, 251515.222535, 20.3283669124
12150, 23.1033765496, 252554.537514, 20.3379281416
12200, 23.1005957789, 253593.85241, 20.3474388009
12250, 23.0977596551, 254633.167222, 20.3568990748
12300, 23.0948695059, 255672.481951, 20.366309151
12350, 23.0919266404, 256711.796598, 20.3756692202
12400, 23.0889323493, 257751.111163, 20.3849794763
12450, 23.0858879058, 258790.425646, 20.3942401156
12500, 23.0827945658, 259829.740049, 20.4034513376
12550, 23.0796535682, 260869.054372, 20.4126133439
12600, 23.076466136, 261908.368616, 20.4217263389
12650, 23.0732334759, 262947.682781, 20.4307905293
12700, 23.0699567798, 263986.996867, 20.4398061241
12750, 23.0666372243, 265026.310876, 20.4487733346
12800, 23.063275972, 266065.624807, 20.4576923738
12850, 23.0598741717, 267104.938662, 20.4665634572
12900, 23.0564329587, 268144.252441, 20.4753868019
12950, 23.0529534559, 269183.566145, 20.4841626271
13000, 23.0494367738, 270222.879773, 20.4928911535
13050, 23.0458840114, 271262.193328, 20.5015726037
13100, 23.0422962566, 272301.506809, 20.5102072017
13150, 23.0386745868, 273340.820217, 20.5187951735
13200, 23.0350200695, 274380.133552, 20.5273367461
13250, 23.0313337631, 275419.446815, 20.5358321482
13300, 23.027616717, 276458.760007, 20.5442816099
13350, 23.0238699728, 277498.073128, 20.5526853625
13400, 23.0200945646, 278537.386179, 20.5610436387
13450, 23.0162915196, 279576.699161, 20.5693566725
13500, 23.0124618591, 280616.012073, 20.5776246989
13550, 23.0086065987, 281655.324917, 20.5858479541
13600, 23.0047267493, 282694.637693, 20.5940266756
13650, 23.000823318, 283733.950401, 20.6021611018
13700, 22.9968973081, 284773.263043, 20.6102514722
13750, 22.9929497206, 285812.575619, 20.6182980274
13800, 22.9889815545, 286851.888129, 20.626301009
13850, 22.9849938076, 287891.200574, 20.6342606596
13900, 22.9809874775, 288930.512954, 20.6421772226
13950, 22.9769635621, 289969.82527, 20.6500509425
14000, 22.9729230607, 291009.137523, 20.6578820648
14050, 22.9688669746, 292048.449713, 20.6656708359
14100, 22.9647963079, 293087.761841, 20.6734175031
14150, 22.9607120688, 294127.073908, 20.6811223146
14200, 22.9566152697, 295166.385913, 20.6887855197
14250, 22.9525069291, 296205.697857, 20.6964073684
14300, 22.9483880715, 297245.009742, 20.7039881118
14350, 22.9442597291, 298284.321567, 20.711528002
14400, 22.9401229424, 299323.633333, 20.719027292
14450, 22.9359787613, 300362.945041, 20.7264862358
14500, 22.9318282461, 301402.256691, 20.7339050883
14550, 22.9276724683, 302441.568283, 20.7412841057
14600, 22.9235125119, 303480.879819, 20.7486235451
14650, 22.9193494746, 304520.191299, 20.7559236647
14700, 22.9151844684, 305559.502724, 20.7631847237
14750, 22.9110186212, 306598.814093, 20.7704069828
14800, 22.9068530776, 307638.125408, 20.7775907035
14850, 22.9026890003, 308677.436669, 20.7847361489
14900, 22.898527571, 309716.747877, 20.7918435831
14950, 22.894369992, 310756.059031, 20.7989132716
15000, 22.890217487, 311795.370134, 20.8059454816
15050, 22.8860713027, 312834.681185, 20.8129404813
15100, 22.8819327099, 313873.992185, 20.8198985406
15150, 22.8778030049, 314913.303134, 20.826819931
15200, 22.8736835107, 315952.614033, 20.8337049257
15250, 22.8695755785, 316991.924883, 20.8405537993
15300, 22.8654805889, 318031.235684, 20.8473668285
15350, 22.8613999536, 319070.546437, 20.8541442917
15400, 22.8573351167, 320109.857142, 20.8608864692
15450, 22.8532875559, 321149.167799, 20.8675936434
15500, 22.8492587845, 322188.478411, 20.8742660987
15550, 22.8452503525, 323227.788976, 20.8809041218
15600, 22.8412638482, 324267.099496, 20.8875080016
15650, 22.8373009, 325306.40997, 20.8940780292
15700, 22.8333631778, 326345.720401, 20.9006144986
15750, 22.8294523948, 327385.030788, 20.907117706
15800, 22.8255703089, 328424.341132, 20.9135879505
15850, 22.8217187245, 329463.651433, 20.9200255337
15900, 22.8178994944, 330502.961693, 20.9264307606
15950, 22.8141145212, 331542.271911, 20.9328039387
16000, 22.8103657594, 332581.582088, 20.939145379
16050, 22.8066552168, 333620.892226, 20.9454553956
16100, 22.8029849569, 334660.202324, 20.9517343061
16150, 22.7993571, 335699.512383, 20.9579824315
16200, 22.7957738258, 336738.822404, 20.9642000967
16250, 22.7922373748, 337778.132387, 20.9703876301
16300, 22.7887500506, 338817.442333, 20.9765453643
16350, 22.7853142214, 339856.752243, 20.982673636
16400, 22.7819323226, 340896.062118, 20.9887727858
16450, 22.7786068581, 341935.371957, 20.9948431593
16500, 22.775340403, 342974.681762, 21.000885106
16550, 22.7721356054, 344013.991534, 21.0068989807
16600, 22.7689951883, 345053.301273, 21.0128851427
16650, 22.765921952, 346092.610979, 21.0188439566
16700, 22.7629187762, 347131.920654, 21.0247757921
16750, 22.759988622, 348171.230298, 21.0306810243
16800, 22.7571345343, 349210.539911, 21.0365600341
16850, 22.754359644, 350249.849496, 21.0424132079
16900, 22.7516671701, 351289.159052, 21.0482409383
16950, 22.7490604221, 352328.468579, 21.054043624
17000, 22.7465428024, 353367.77808, 21.0598216698
17050, 22.7441178081, 354407.087554, 21.0655754876
17100, 22.7417890342, 355446.397003, 21.0713054955
17150, 22.7395601753, 356485.706427, 21.077012119
17200, 22.7374350282, 357525.015827, 21.0826957906
17250, 22.7354174942, 358564.325204, 21.0883569502
17300, 22.7335115819, 359603.634558, 21.0939960454
17350, 22.7317214091, 360642.943891, 21.0996135316
17400, 22.7300512059, 361682.253203, 21.1052098722
17450, 22.7285053165, 362721.562496, 21.1107855392
17500, 22.7270882025, 363760.87177, 21.1163410127
17550, 22.7258044446, 364800.181026, 21.121876782
17600, 22.724658746, 365839.490264, 21.1273933452
17650, 22.7236559342, 366878.799487, 21.1328912098
17700, 22.7228009641, 367918.108695, 21.1383708927
17750, 22.7220989205, 368957.417888, 21.1438329207
17800, 22.7215550205, 369996.727068, 21.1492778306
17850, 22.7211746165, 371036.036236, 21.1547061696
17900, 22.7209631985, 372075.345393, 21.1601184952
17950, 22.7209263969, 373114.65454, 21.165515376
18000, 22.7210699853, 374153.963678, 21.1708973916
18050, 22.7213998831, 375193.272808, 21.1762651332
18100, 22.721922158, 376232.581931, 21.1816192033
18150, 22.7226430292, 377271.891049, 21.1869602166
18200, 22.7235688696, 378311.200162, 21.1922888002
18250, 22.7247062087, 379350.509272, 21.1976055933
18300, 22.7260617357, 380389.818379, 21.2029112483
18350, 22.7276423015, 381429.127486, 21.2082064306
18400, 22.7294549222, 382468.436593, 21.2134918191
18450, 22.7315067816, 383507.745702, 21.2187681063
18500, 22.7338052336, 384547.054813, 21.2240359989
18550, 22.7363578056, 385586.363929, 21.2292962179
18600, 22.7391722008, 386625.673051, 21.2345494989
18650, 22.7422563011, 387664.982179, 21.2397965927
18700, 22.74561817, 388704.291316, 21.2450382652
18750, 22.7492660552, 389743.600463, 21.250275298
18800, 22.7532083914, 390782.909621, 21.2555084887
18850, 22.7574538032, 391822.218791, 21.2607386512
18900, 22.7620111077, 392861.527976, 21.2659666161
18950, 22.7668893175, 393900.837177, 21.2711932308
19000, 22.7720976431, 394940.146396, 21.2764193601
19050, 22.7776454959, 395979.455633, 21.2816458866
19100, 22.783542491, 397018.764891, 21.2868737106
19150, 22.7897984497, 398058.074172, 21.2921037509
19200, 22.7964234024, 399097.383477, 21.297336945
19250, 22.8034275914, 400136.692807, 21.3025742495
19300, 22.8108214732, 401176.002165, 21.3078166403
19350, 22.8186157218, 402215.311553, 21.3130651131
19400, 22.8268212307, 403254.620972, 21.3183206837
19450, 22.8354491161, 404293.930425, 21.3235843884
19500, 22.8445107193, 405333.239913, 21.3288572844
19550, 22.8540176095, 406372.549437, 21.33414045
19600, 22.863981586, 407411.859001, 21.3394349852
19650, 22.8744146814, 408451.168607, 21.3447420118
19700, 22.8853291635, 409490.478255, 21.350062674
19750, 22.8967375384, 410529.78795, 21.3553981389
19800, 22.9086525527, 411569.097691, 21.3607495963
19850, 22.9210871962, 412608.407483, 21.3661182597
19900, 22.9340547041, 413647.717327, 21.3715053664
19950, 22.9475685597, 414687.027226, 21.3769121778
20000, 22.9616424966, 415726.337181, 21.3823399799
20050, 22.9762905012, 416765.647195, 21.387790084
20100, 22.9915268152, 417804.957272, 21.3932638262
20150, 23.0073659376, 418844.267412, 21.3987625688
20200, 23.023822627, 419883.577619, 21.4042877
20250, 23.0409119041, 420922.887896, 21.4098406346
20300, 23.0586490538, 421962.198244, 21.4154228142
20350, 23.0770496273, 423001.508667, 21.4210357079
20400, 23.096129444, 424040.819168, 21.4266808122
20450, 23.1159045943, 425080.129749, 21.4323596519
20500, 23.1363914406, 426119.440413, 21.4380737802
20550, 23.1576066204, 427158.751162, 21.4438247789
20600, 23.1795670474, 428198.062001, 21.4496142595
20650, 23.2022899137, 429237.372931, 21.4554438627
20700, 23.2257926917, 430276.683957, 21.4613152593
20750, 23.2500931359, 431315.99508, 21.4672301508
20800, 23.2752092845, 432355.306305, 21.473190269
20850, 23.3011594611, 433394.617634, 21.4791973773
20900, 23.3279622767, 434433.929071, 21.4852532705
20950, 23.3556366306, 435473.24062, 21.4913597752
21000, 23.3842017126, 436512.552282, 21.4975187506
21050, 23.4136770039, 437551.864063, 21.5037320885
21100, 23.4440822789, 438591.175965, 21.5100017137
21150, 23.4754376063, 439630.487992, 21.5163295847
21200, 23.5077633503, 440669.800148, 21.5227176937
21250, 23.5410801721, 441709.112436, 21.5291680671
21300, 23.5754090308, 442748.42486, 21.5356827662
21350, 23.6107711842, 443787.737425, 21.5422638869
21400, 23.6471881904, 444827.050133, 21.5489135607
21450, 23.6846819082, 445866.36299, 21.555633955
21500, 23.7232744979, 446905.675998, 21.5624272728
21550, 23.7629884224, 447944.989162, 21.5692957542
21600, 23.8038464477, 448984.302486, 21.5762416756
21650, 23.8458716433, 450023.615975, 21.5832673509
21700, 23.8890873828, 451062.929632, 21.5903751315
21750, 23.9335173445, 452102.243463, 21.5975674066
21800, 23.9791855114, 453141.557471, 21.6048466038
21850, 24.0261161718, 454180.871661, 21.6122151893
21900, 24.074333919, 455220.186037, 21.6196756681
21950, 24.1238636515, 456259.500605, 21.6272305847
22000, 24.1747305733, 457298.815368, 21.6348825231
22050, 24.2269601932, 458338.130333, 21.6426341073
22100, 24.2805783246, 459377.445503, 21.6504880016
22150, 24.3356110858, 460416.760883, 21.6584469109
22200, 24.3920848986, 461456.076479, 21.666513581
22250, 24.4500264883, 462495.392295, 21.6746907991
22300, 24.509462883, 463534.708338, 21.6829813937
22350, 24.5704214125, 464574.024611, 21.6913882355
22400, 24.6329297076, 465613.341121, 21.6999142371
22450, 24.6970156991, 466652.657872, 21.7085623536
22500, 24.7627076165, 467691.97487, 21.7173355829
22550, 24.830033987, 468731.292122, 21.726236966
22600, 24.8990236336, 469770.609631, 21.7352695872
22650, 24.9697056742, 470809.927405, 21.7444365741
22700, 25.0421095196, 471849.245448, 21.7537410984
22750, 25.1162648717, 472888.563767, 21.7631863759
22800, 25.1922017216, 473927.882367, 21.7727756667
22850, 25.2699503478, 474967.201255, 21.7825122754
22900, 25.3495413138, 476006.520437, 21.7923995515
22950, 25.4310054658, 477045.839919, 21.8024408896
23000, 25.5143739302, 478085.159707, 21.8126397295
23050, 25.5996781111, 479124.479807, 21.8229995565
23100, 25.6869496876, 480163.800226, 21.8335239016
23150, 25.7762206106, 481203.12097, 21.8442163417
23200, 25.8675231, 482242.442047, 21.8550804997
23250, 25.9608896415, 483281.763462, 21.8661200449
23300, 26.0563529829, 484321.085222, 21.8773386928
23350, 26.153946131, 485360.407335, 21.8887402058
23400, 26.2537023478, 486399.729807, 21.9003283927
23450, 26.3556551464, 487439.052644, 21.9121071093
23500, 26.4598382871, 488478.375855, 21.9240802586
23550, 26.5662857732, 489517.699447, 21.9362517904
23600, 26.675031847, 490557.023426, 21.9486257019
23650, 26.7861109845, 491596.3478, 21.9612060378
23700, 26.8995578914, 492635.672576, 21.9739968899
23750, 27.0154074977, 493674.997763, 21.9870023976
23800, 27.133694953, 494714.323366, 22.0002267482
23850, 27.2544556208, 495753.649395, 22.0136741762
23900, 27.3777250735, 496792.975857, 22.027348964
23950, 27.5035390864, 497832.302759, 22.0412554416
24000, 27.6319336321, 498871.63011, 22.0553979869
24050, 27.7629448742, 499910.957918, 22.0697810253
24100, 27.8966091616, 500950.28619, 22.0844090301
24150, 28.0329630211, 501989.614936, 22.0992865222
24200, 28.1720431518, 503028.944162, 22.1144180703
24250, 28.3138864176, 504068.273878, 22.1298082906
24300, 28.4585298405, 505107.604092, 22.1454618469
24350, 28.6060105931, 506146.934813, 22.1613834506
24400, 28.7563659911, 507186.266048, 22.1775778603
24450, 28.9096334858, 508225.597807, 22.1940498822
24500, 29.0658506562, 509264.930099, 22.2108043693
24550, 29.2250552008, 510304.262932, 22.227846222
24600, 29.387284929, 511343.596315, 22.2451803875
24650, 29.552577753, 512382.930258, 22.2628118596
24700, 29.7209716786, 513422.264768, 22.2807456788
24750, 29.8925047966, 514461.599856, 22.298986932
24800, 30.0672152728, 515500.935531, 22.3175407522
24850, 30.2451413395, 516540.271802, 22.3364123183
24900, 30.426321285, 517579.608679, 22.3556068548
24950, 30.6107934437, 518618.94617, 22.3751296318
25000, 30.7985961866, 519658.284286, 22.3949859645
25050, 30.98976791, 520697.623036, 22.4151812127
25100, 31.1843470252, 521736.962429, 22.435720781
25150, 31.3823719476, 522776.302477, 22.456610118
25200, 31.5838810856, 523815.643187, 22.4778547163
25250, 31.7889128289, 524854.984572, 22.4994601117
25300, 31.9975055372, 525894.326639, 22.5214318834
25350, 32.2096975278, 526933.6694, 22.5437756529
25400, 32.4255270641, 527973.012865, 22.5664970842
25450, 32.6450323426, 529012.357043, 22.5896018828
25500, 32.8682514807, 530051.701946, 22.6130957958
25550, 33.0952225032, 531091.047583, 22.6369846109
25600, 33.3259833298, 532130.393965, 22.6612741561
25650, 33.5605717613, 533169.741103, 22.6859702993
25700, 33.799025466, 534209.089006, 22.7110789475
25750, 34.0413819658, 535248.437686, 22.7366060462
25800, 34.2876786219, 536287.787153, 22.7625575792
25850, 34.5379526206, 537327.137419, 22.7889395676
25900, 34.7922409584, 538366.488493, 22.8157580693
