T, Cp, H, S
7800, 24.6538386933, 162133.505257, 12.4492688072
7850, 24.7285949609, 163172.852674, 12.4742210919
7900, 24.8034384343, 164212.200533, 12.4994898836
7950, 24.8783453834, 165251.548825, 12.5250716638
8000, 24.9532923281, 166290.897544, 12.5509628322
8050, 25.0282560509, 167330.246682, 12.5771597103
8100, 25.1032136077, 168369.596231, 12.6036585449
8150, 25.1781423394, 169408.946183, 12.6304555119
8200, 25.2530198815, 170448.296531, 12.6575467195
8250, 25.3278241741, 171487.647266, 12.684928212
8300, 25.4025334711, 172526.998381, 12.712595973
8350, 25.4771263488, 173566.349867, 12.7405459289
8400, 25.5515817137, 174605.701716, 12.7687739519
8450, 25.6258788103, 175645.05392, 12.7972758638
8500, 25.6999972282, 176684.406472, 12.8260474388
8550, 25.7739169084, 177723.759361, 12.8550844066
8600, 25.8476181494, 178763.112581, 12.884382456
8650, 25.921081613, 179802.466123, 12.9139372374
8700, 25.9942883291, 180841.819978, 12.9437443659
8750, 26.0672197005, 181881.174139, 12.9737994246
8800, 26.139857507, 182920.528596, 13.0040979671
8850, 26.2121839094, 183959.883341, 13.0346355205
8900, 26.2841814526, 184999.238366, 13.0654075878
8950, 26.3558330687, 186038.593662, 13.0964096512
9000, 26.4271220794, 187077.94922, 13.1276371741
9050, 26.4980321982, 188117.305033, 13.1590856044
9100, 26.5685475326, 189156.661092, 13.1907503762
9150, 26.6386525845, 190196.017389, 13.2226269128
9200, 26.7083322525, 191235.373914, 13.2547106289
9250, 26.7775718316, 192274.730661, 13.2869969331
9300, 26.8463570142, 193314.087619, 13.31948123
9350, 26.9146738899, 194353.444781, 13.3521589223
9400, 26.9825089454, 195392.802139, 13.3850254134
9450, 27.0498490638, 196432.159685, 13.4180761091
9500, 27.1166815239, 197471.517409, 13.4513064196
9550, 27.182993999, 198510.875305, 13.4847117618
9600, 27.2487745556, 199550.233363, 13.5182875612
9650, 27.3140116517, 200589.591576, 13.5520292533
9700, 27.3786941349, 201628.949935, 13.5859322859
9750, 27.4428112404, 202668.308434, 13.6199921207
9800, 27.5063525886, 203707.667062, 13.6542042348
9850, 27.5693081823, 204747.025814, 13.6885641227
9900, 27.6316684042, 205786.384681, 13.7230672976
9950, 27.693424014, 206825.743655, 13.757709293
10000, 27.7545661448, 207865.102728, 13.7924856642
10050, 27.8150863001, 208904.461893, 13.8273919896
10100, 27.8749763503, 209943.821143, 13.8624238724
10150, 27.9342285289, 210983.180469, 13.8975769415
10200, 27.9928354284, 212022.539865, 13.9328468531
10250, 28.0507899969, 213061.899322, 13.9682292915
10300, 28.1080855333, 214101.258835, 14.0037199709
10350, 28.1647156838, 215140.618395, 14.0393146359
10400, 28.2206744367, 216179.977996, 14.0750090629
10450, 28.2759561185, 217219.33763, 14.1107990612
10500, 28.3305553892, 218258.69729, 14.1466804735
10550, 28.3844672371, 219298.056971, 14.1826491776
10600, 28.437686975, 220337.416664, 14.2187010863
10650, 28.4902102341, 221376.776363, 14.2548321493
10700, 28.5420329601, 222416.136062, 14.2910383533
10750, 28.5931514076, 223455.495753, 14.3273157228
10800, 28.643562135, 224494.855432, 14.3636603211
10850, 28.6932619997, 225534.21509, 14.400068251
10900, 28.7422481526, 226573.574722, 14.436535655
10950, 28.7905180327, 227612.934323, 14.4730587163
11000, 28.8380693624, 228652.293884, 14.5096336593
11050, 28.8849001415, 229691.653402, 14.5462567501
11100, 28.9310086423, 230731.012869, 14.5829242968
11150, 28.9763934038, 231770.372281, 14.6196326502
11200, 29.0210532268, 232809.73163, 14.6563782042
11250, 29.0649871682, 233849.090913, 14.6931573961
11300, 29.1081945354, 234888.450122, 14.7299667067
11350, 29.1506748811, 235927.809253, 14.7668026614
11400, 29.1924279981, 236967.1683, 14.8036618295
11450, 29.2334539133, 238006.527259, 14.8405408253
11500, 29.2737528826, 239045.886123, 14.8774363078
11550, 29.3133253856, 240085.244888, 14.914344981
11600, 29.35217212, 241124.603549, 14.9512635944
11650, 29.3902939964, 242163.962101, 14.9881889428
11700, 29.4276921325, 243203.320539, 15.0251178664
11750, 29.4643678487, 244242.678859, 15.0620472511
11800, 29.5003226617, 245282.037056, 15.0989740286
11850, 29.53555828, 246321.395124, 15.1358951763
11900, 29.5700765985, 247360.753061, 15.1728077172
11950, 29.6038796932, 248400.110862, 15.2097087203
12000, 29.6369698161, 249439.468521, 15.2465953002
12050, 29.6693493902, 250478.826036, 15.2834646173
12100, 29.7010210042, 251518.183402, 15.3203138777
12150, 29.7319874078, 252557.540615, 15.3571403328
12200, 29.7622515065, 253596.897672, 15.3939412798
12250, 29.791816357, 254636.254568, 15.4307140611
12300, 29.8206851619, 255675.611299, 15.4674560644
12350, 29.8488612653, 256714.967863, 15.5041647223
12400, 29.876348148, 257754.324255, 15.5408375125
12450, 29.9031494225, 258793.680473, 15.5774719575
12500, 29.9292688291, 259833.036512, 15.6140656239
12550, 29.9547102304, 260872.392369, 15.6506161232
12600, 29.9794776077, 261911.748042, 15.6871211105
12650, 30.003575056, 262951.103527, 15.723578285
12700, 30.02700678, 263990.458821, 15.7599853895
12750, 30.0497770894, 265029.813922, 15.79634021
12800, 30.0718903953, 266069.168825, 15.8326405757
12850, 30.0933512055, 267108.523529, 15.8688843585
12900, 30.1141641207, 268147.87803, 15.9050694728
12950, 30.1343338302, 269187.232327, 15.9411938752
13000, 30.1538651086, 270226.586416, 15.9772555641
13050, 30.1727628111, 271265.940296, 16.0132525796
13100, 30.1910318704, 272305.293963, 16.0491830027
13150, 30.2086772926, 273344.647415, 16.0850449555
13200, 30.2257041536, 274384.00065, 16.1208366007
13250, 30.2421175958, 275423.353666, 16.1565561408
13300, 30.2579228241, 276462.706461, 16.1922018184
13350, 30.273125103, 277502.059032, 16.2277719154
13400, 30.2877297527, 278541.411378, 16.2632647529
13450, 30.3017421465, 279580.763497, 16.2986786904
13500, 30.3151677068, 280620.115387, 16.3340121259
13550, 30.3280119027, 281659.467046, 16.3692634953
13600, 30.3402802465, 282698.818472, 16.404431272
